dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,409.0000,561375.0000,1257.0000,187125.0000,2951.0000,561375.0000,3671.0000,187125.0000,Neutral,22,-244.6075,0.5952,NA, NA,0.1595,NA,NA,NA,NA,NA,NA,0.147673,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.0000,178.0000,77.0000,70.0000,36.0000,27.0000,29.0000,25.0000,34.0000,27.0000,13.0000,14.0000,15.0000,10.0000,5.0000,7.0000,9.0000,8.0000,9.0000,505.1806,129.7763,51.7991,49.0142,26.1780,19.4943,20.0513,17.2664,22.8362,23.9501,8.9117,9.4687,9.4687,5.5698,3.3419,6.1268,6.1268,5.0128,8.3547,243.0000,55.0000,16.0000,18.0000,11.0000,8.0000,7.0000,6.0000,7.0000,16.0000,3.0000,3.0000,2.0000,0.0000,1.0000,4.0000,2.0000,1.0000,6.0000,401.8194,103.2237,41.2009,38.9858,20.8220,15.5057,15.9487,13.7336,18.1638,19.0499,7.0883,7.5313,7.5313,4.4302,2.6581,4.8732,4.8732,3.9872,6.6453,3671.0000,3688.3196,2951.0000,2933.6804
all,409.0000,561375.0000,1257.0000,187125.0000,2951.0000,561375.0000,3671.0000,187125.0000,GammaExpo,25,-101.5969,0.7738,0.0000,0.0000,0.2072,0.0000,0.0000,0.0005,0.1201,0.1055,0.7738,NA,NA,NA,NA,NA,14692.611631,0.333244,9.107913,0.025236,0.002365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003541,0.545499,0.333829,0.425581,0.285618,0.255800,0.306987,0.301618,0.447338,0.518800,0.210974,0.242489,0.259888,0.162400,0.102590,0.196118,0.202185,0.167957,0.276934,664.0000,178.0000,77.0000,70.0000,36.0000,27.0000,29.0000,25.0000,34.0000,27.0000,13.0000,14.0000,15.0000,10.0000,5.0000,7.0000,9.0000,8.0000,9.0000,661.2180,180.3720,73.5996,70.3834,37.7963,28.2151,29.0313,24.9657,32.9250,34.3810,12.7170,13.4073,13.2752,7.7116,4.5539,8.1806,7.9687,6.3006,10.0703,243.0000,55.0000,16.0000,18.0000,11.0000,8.0000,7.0000,6.0000,7.0000,16.0000,3.0000,3.0000,2.0000,0.0000,1.0000,4.0000,2.0000,1.0000,6.0000,245.7820,52.6280,19.4004,17.6166,9.2037,6.7849,6.9687,6.0343,8.0750,8.6190,3.2830,3.5927,3.7248,2.2884,1.4461,2.8194,3.0313,2.6994,4.9297,3671.0000,3673.1937,2951.0000,2948.8063
all,409.0000,561375.0000,1257.0000,187125.0000,2951.0000,561375.0000,3671.0000,187125.0000,Saturated,40,-92.2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.0000,178.0000,77.0000,70.0000,36.0000,27.0000,29.0000,25.0000,34.0000,27.0000,13.0000,14.0000,15.0000,10.0000,5.0000,7.0000,9.0000,8.0000,9.0000,664.0000,178.0000,77.0000,70.0000,36.0000,27.0000,29.0000,25.0000,34.0000,27.0000,13.0000,14.0000,15.0000,10.0000,5.0000,7.0000,9.0000,8.0000,9.0000,243.0000,55.0000,16.0000,18.0000,11.0000,8.0000,7.0000,6.0000,7.0000,16.0000,3.0000,3.0000,2.0000,0.0000,1.0000,4.0000,2.0000,1.0000,6.0000,243.0000,55.0000,16.0000,18.0000,11.0000,8.0000,7.0000,6.0000,7.0000,16.0000,3.0000,3.0000,2.0000,0.0000,1.0000,4.0000,2.0000,1.0000,6.0000,3671.0000,3671.0000,2951.0000,2951.0000
