dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,408.0000,561375.0000,1075.0000,187125.0000,2869.0000,561375.0000,3628.0000,187125.0000,Neutral,22,-188.4927,0.5201,NA, NA,0.1371,NA,NA,NA,NA,NA,NA,0.146537,0.0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.0000,144.0000,64.0000,75.0000,27.0000,14.0000,4.0000,12.0000,11.0000,10.0000,7.0000,10.0000,16.0000,11.0000,17.0000,42.0000,11.0000,9.0000,9.0000,456.7160,104.2321,50.4349,62.7634,18.4928,12.8889,2.2416,8.4058,6.1643,7.2850,4.4831,8.9662,11.2078,6.1643,12.3285,36.9856,7.8454,6.7247,6.7247,233.0000,42.0000,26.0000,37.0000,6.0000,9.0000,0.0000,3.0000,0.0000,3.0000,1.0000,6.0000,4.0000,0.0000,5.0000,24.0000,3.0000,3.0000,3.0000,358.2840,81.7679,39.5651,49.2366,14.5072,10.1111,1.7584,6.5942,4.8357,5.7150,3.5169,7.0338,8.7922,4.8357,9.6715,29.0144,6.1546,5.2753,5.2753,3628.0000,3640.8392,2869.0000,2856.1608
all,408.0000,561375.0000,1075.0000,187125.0000,2869.0000,561375.0000,3628.0000,187125.0000,GammaExpo,25,-102.8032,0.6627,0.0000,0.0000,0.1748,0.0000,0.0000,0.0004,0.1934,0.1435,0.6627,NA,NA,NA,NA,NA,546285.706051,0.194090,7.121751,0.028916,0.029535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003179,0.473959,0.348838,0.582204,0.214809,0.179501,0.036313,0.154879,0.126925,0.165229,0.110627,0.238076,0.316887,0.183637,0.382520,1.178399,0.251562,0.209237,0.183023,582.0000,144.0000,64.0000,75.0000,27.0000,14.0000,4.0000,12.0000,11.0000,10.0000,7.0000,10.0000,16.0000,11.0000,17.0000,42.0000,11.0000,9.0000,9.0000,578.2959,137.2879,67.4969,84.6763,25.0565,17.4984,3.0442,11.4046,8.3453,9.8302,6.0226,11.9778,14.8694,8.1111,16.0680,47.6999,10.0173,8.5498,8.7777,233.0000,42.0000,26.0000,37.0000,6.0000,9.0000,0.0000,3.0000,0.0000,3.0000,1.0000,6.0000,4.0000,0.0000,5.0000,24.0000,3.0000,3.0000,3.0000,236.7041,48.7121,22.5031,27.3237,7.9435,5.5016,0.9558,3.5954,2.6547,3.1698,1.9774,4.0222,5.1306,2.8889,5.9320,18.3001,3.9827,3.4502,3.2223,3628.0000,3625.9165,2869.0000,2871.0835
all,408.0000,561375.0000,1075.0000,187125.0000,2869.0000,561375.0000,3628.0000,187125.0000,Saturated,40,-87.8102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.0000,144.0000,64.0000,75.0000,27.0000,14.0000,4.0000,12.0000,11.0000,10.0000,7.0000,10.0000,16.0000,11.0000,17.0000,42.0000,11.0000,9.0000,9.0000,582.0000,144.0000,64.0000,75.0000,27.0000,14.0000,4.0000,12.0000,11.0000,10.0000,7.0000,10.0000,16.0000,11.0000,17.0000,42.0000,11.0000,9.0000,9.0000,233.0000,42.0000,26.0000,37.0000,6.0000,9.0000,0.0000,3.0000,0.0000,3.0000,1.0000,6.0000,4.0000,0.0000,5.0000,24.0000,3.0000,3.0000,3.0000,233.0000,42.0000,26.0000,37.0000,6.0000,9.0000,0.0000,3.0000,0.0000,3.0000,1.0000,6.0000,4.0000,0.0000,5.0000,24.0000,3.0000,3.0000,3.0000,3628.0000,3628.0000,2869.0000,2869.0000
