dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,403.0000,561375.0000,1051.0000,187125.0000,2859.0000,561375.0000,3643.0000,187125.0000,Neutral,22,-190.2929,0.5114,NA, NA,0.1338,NA,NA,NA,NA,NA,NA,0.145940,0.0000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.0000,133.0000,53.0000,41.0000,28.0000,40.0000,23.0000,18.0000,31.0000,15.0000,25.0000,9.0000,6.0000,10.0000,7.0000,7.0000,8.0000,10.0000,13.0000,443.5600,98.3815,37.6661,29.2334,17.9898,29.7955,17.4276,14.0545,33.7308,10.6814,20.8007,7.3083,5.6218,8.9949,6.1840,6.1840,7.8705,7.8705,14.0545,215.0000,42.0000,14.0000,11.0000,4.0000,13.0000,8.0000,7.0000,29.0000,4.0000,12.0000,4.0000,4.0000,6.0000,4.0000,4.0000,6.0000,4.0000,12.0000,345.4400,76.6185,29.3339,22.7666,14.0102,23.2045,13.5724,10.9455,26.2692,8.3186,16.1993,5.6917,4.3782,7.0051,4.8160,4.8160,6.1295,6.1295,10.9455,3643.0000,3655.2942,2859.0000,2846.7058
all,403.0000,561375.0000,1051.0000,187125.0000,2859.0000,561375.0000,3643.0000,187125.0000,GammaExpo,25,-104.9316,0.3284,0.0000,0.0000,0.0860,0.0000,0.0000,0.0002,0.0227,0.6487,0.3284,NA,NA,NA,NA,NA,26419.988906,0.485343,2.438608,0.089089,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003085,0.452708,0.260596,0.268957,0.205875,0.406583,0.275374,0.251644,0.672981,0.234293,0.496028,0.187674,0.154167,0.261447,0.189204,0.197867,0.261703,0.270255,0.495187,574.0000,133.0000,53.0000,41.0000,28.0000,40.0000,23.0000,18.0000,31.0000,15.0000,25.0000,9.0000,6.0000,10.0000,7.0000,7.0000,8.0000,10.0000,13.0000,577.3298,130.6810,50.1500,38.8193,23.7716,39.1221,22.7117,18.1602,43.1702,13.5264,26.0338,9.0292,6.8466,10.7815,7.2822,7.1397,8.8876,8.6681,15.0466,215.0000,42.0000,14.0000,11.0000,4.0000,13.0000,8.0000,7.0000,29.0000,4.0000,12.0000,4.0000,4.0000,6.0000,4.0000,4.0000,6.0000,4.0000,12.0000,211.6702,44.3190,16.8500,13.1807,8.2284,13.8779,8.2883,6.8398,16.8298,5.4736,10.9662,3.9708,3.1534,5.2185,3.7178,3.8603,5.1124,5.3319,9.9534,3643.0000,3640.5646,2859.0000,2861.4354
all,403.0000,561375.0000,1051.0000,187125.0000,2859.0000,561375.0000,3643.0000,187125.0000,Saturated,40,-95.5940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.0000,133.0000,53.0000,41.0000,28.0000,40.0000,23.0000,18.0000,31.0000,15.0000,25.0000,9.0000,6.0000,10.0000,7.0000,7.0000,8.0000,10.0000,13.0000,574.0000,133.0000,53.0000,41.0000,28.0000,40.0000,23.0000,18.0000,31.0000,15.0000,25.0000,9.0000,6.0000,10.0000,7.0000,7.0000,8.0000,10.0000,13.0000,215.0000,42.0000,14.0000,11.0000,4.0000,13.0000,8.0000,7.0000,29.0000,4.0000,12.0000,4.0000,4.0000,6.0000,4.0000,4.0000,6.0000,4.0000,12.0000,215.0000,42.0000,14.0000,11.0000,4.0000,13.0000,8.0000,7.0000,29.0000,4.0000,12.0000,4.0000,4.0000,6.0000,4.0000,4.0000,6.0000,4.0000,12.0000,3643.0000,3643.0000,2859.0000,2859.0000
