dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,450.0000,561375.0000,1134.0000,187125.0000,3076.0000,561375.0000,3753.0000,187125.0000,Neutral,22,-194.7691,0.5158,NA, NA,0.1409,NA,NA,NA,NA,NA,NA,0.149475,0.0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.0000,145.0000,67.0000,32.0000,31.0000,22.0000,28.0000,28.0000,13.0000,7.0000,14.0000,21.0000,11.0000,10.0000,4.0000,12.0000,10.0000,13.0000,9.0000,516.2735,105.9022,45.7807,24.8208,22.0630,16.5472,22.0630,24.8208,8.2736,5.5157,10.4799,18.7535,8.8252,7.7220,5.5157,8.2736,7.7220,7.7220,6.6189,279.0000,47.0000,16.0000,13.0000,9.0000,8.0000,12.0000,17.0000,2.0000,3.0000,5.0000,13.0000,5.0000,4.0000,6.0000,3.0000,4.0000,1.0000,3.0000,419.7265,86.0978,37.2193,20.1792,17.9370,13.4528,17.9370,20.1792,6.7264,4.4843,8.5201,15.2465,7.1748,6.2780,4.4843,6.7264,6.2780,6.2780,5.3811,3753.0000,3766.7003,3076.0000,3062.2997
all,450.0000,561375.0000,1134.0000,187125.0000,3076.0000,561375.0000,3753.0000,187125.0000,GammaExpo,25,-102.6502,0.4801,0.0000,0.0000,0.1312,0.0000,0.0000,0.0003,0.0505,0.4692,0.4801,NA,NA,NA,NA,NA,19098.838359,0.412156,3.324503,0.070214,0.092036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003867,0.424328,0.276452,0.199033,0.219295,0.195123,0.299300,0.378492,0.139222,0.100843,0.205336,0.388757,0.191094,0.172265,0.124721,0.185565,0.166103,0.149199,0.095144,657.0000,145.0000,67.0000,32.0000,31.0000,22.0000,28.0000,28.0000,13.0000,7.0000,14.0000,21.0000,11.0000,10.0000,4.0000,12.0000,10.0000,13.0000,9.0000,660.5627,140.9740,61.6312,33.5225,29.7916,22.2961,29.6273,33.1871,11.0070,7.2976,13.7848,24.5228,11.4766,9.9971,7.1246,10.7102,10.1076,10.4148,9.6271,279.0000,47.0000,16.0000,13.0000,9.0000,8.0000,12.0000,17.0000,2.0000,3.0000,5.0000,13.0000,5.0000,4.0000,6.0000,3.0000,4.0000,1.0000,3.0000,275.4373,51.0260,21.3688,11.4775,10.2084,7.7039,10.3727,11.8129,3.9930,2.7024,5.2152,9.4772,4.5234,4.0029,2.8754,4.2898,3.8924,3.5852,2.3729,3753.0000,3752.7402,3076.0000,3076.2598
all,450.0000,561375.0000,1134.0000,187125.0000,3076.0000,561375.0000,3753.0000,187125.0000,Saturated,40,-93.8001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.0000,145.0000,67.0000,32.0000,31.0000,22.0000,28.0000,28.0000,13.0000,7.0000,14.0000,21.0000,11.0000,10.0000,4.0000,12.0000,10.0000,13.0000,9.0000,657.0000,145.0000,67.0000,32.0000,31.0000,22.0000,28.0000,28.0000,13.0000,7.0000,14.0000,21.0000,11.0000,10.0000,4.0000,12.0000,10.0000,13.0000,9.0000,279.0000,47.0000,16.0000,13.0000,9.0000,8.0000,12.0000,17.0000,2.0000,3.0000,5.0000,13.0000,5.0000,4.0000,6.0000,3.0000,4.0000,1.0000,3.0000,279.0000,47.0000,16.0000,13.0000,9.0000,8.0000,12.0000,17.0000,2.0000,3.0000,5.0000,13.0000,5.0000,4.0000,6.0000,3.0000,4.0000,1.0000,3.0000,3753.0000,3753.0000,3076.0000,3076.0000
