dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,683.0000,561375.0000,3092.0000,187125.0000,417.0000,561375.0000,3298.0000,187125.0000,Neutral,22,-229.3225,-0.7470,NA, NA,-0.0315,NA,NA,NA,NA,NA,NA,0.038578,0.0110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.0000,437.0000,264.0000,214.0000,160.0000,149.0000,104.0000,87.0000,102.0000,93.0000,69.0000,72.0000,45.0000,68.0000,56.0000,54.0000,55.0000,69.0000,47.0000,1110.6378,485.4619,280.3122,219.2979,167.1262,157.3993,101.6906,89.3108,103.4591,90.1951,68.0885,68.9727,50.4031,73.3941,53.0559,56.5930,53.0559,63.6671,45.9818,309.0000,112.0000,53.0000,34.0000,29.0000,29.0000,11.0000,14.0000,15.0000,9.0000,8.0000,6.0000,12.0000,15.0000,4.0000,10.0000,5.0000,3.0000,5.0000,145.3622,63.5381,36.6878,28.7021,21.8738,20.6007,13.3094,11.6892,13.5409,11.8049,8.9115,9.0273,6.5969,9.6059,6.9441,7.4070,6.9441,8.3329,6.0182,3298.0000,3285.0472,417.0000,429.9528
all,683.0000,561375.0000,3092.0000,187125.0000,417.0000,561375.0000,3298.0000,187125.0000,GammaExpo,25,-124.4646,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,0.6191,0.3776,0.0002,NA,NA,NA,NA,NA,7087.069746,0.391861,0.498792,0.012075,0.032008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005192,0.941122,0.837373,0.885273,0.849792,0.964641,0.728729,0.731867,0.952936,0.920923,0.761745,0.836926,0.657135,1.018558,0.775742,0.860444,0.821997,0.964537,0.597393,947.0000,437.0000,264.0000,214.0000,160.0000,149.0000,104.0000,87.0000,102.0000,93.0000,69.0000,72.0000,45.0000,68.0000,56.0000,54.0000,55.0000,69.0000,47.0000,942.0423,444.1439,264.0216,209.8494,161.5916,153.3349,99.6432,87.9280,102.2656,89.4678,67.7546,68.8406,50.4556,73.6972,53.4586,57.2620,53.9914,65.3886,48.1445,309.0000,112.0000,53.0000,34.0000,29.0000,29.0000,11.0000,14.0000,15.0000,9.0000,8.0000,6.0000,12.0000,15.0000,4.0000,10.0000,5.0000,3.0000,5.0000,313.9577,104.8561,52.9784,38.1506,27.4084,24.6651,15.3568,13.0720,14.7344,12.5322,9.2454,9.1594,6.5444,9.3028,6.5414,6.7380,6.0086,6.6114,3.8555,3298.0000,3297.7650,417.0000,417.2350
all,683.0000,561375.0000,3092.0000,187125.0000,417.0000,561375.0000,3298.0000,187125.0000,Saturated,40,-114.2898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947.0000,437.0000,264.0000,214.0000,160.0000,149.0000,104.0000,87.0000,102.0000,93.0000,69.0000,72.0000,45.0000,68.0000,56.0000,54.0000,55.0000,69.0000,47.0000,947.0000,437.0000,264.0000,214.0000,160.0000,149.0000,104.0000,87.0000,102.0000,93.0000,69.0000,72.0000,45.0000,68.0000,56.0000,54.0000,55.0000,69.0000,47.0000,309.0000,112.0000,53.0000,34.0000,29.0000,29.0000,11.0000,14.0000,15.0000,9.0000,8.0000,6.0000,12.0000,15.0000,4.0000,10.0000,5.0000,3.0000,5.0000,309.0000,112.0000,53.0000,34.0000,29.0000,29.0000,11.0000,14.0000,15.0000,9.0000,8.0000,6.0000,12.0000,15.0000,4.0000,10.0000,5.0000,3.0000,5.0000,3298.0000,3298.0000,417.0000,417.0000
