dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,713.0000,561375.0000,3432.0000,187125.0000,767.0000,561375.0000,3367.0000,187125.0000,Neutral,22,-145.7246,0.0880,NA, NA,0.0067,NA,NA,NA,NA,NA,NA,0.061619,0.0030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274.0000,576.0000,309.0000,227.0000,165.0000,103.0000,104.0000,101.0000,80.0000,52.0000,71.0000,43.0000,59.0000,45.0000,47.0000,47.0000,45.0000,46.0000,38.0000,1322.1621,573.0456,296.7121,220.9038,156.5075,100.2626,93.7415,91.2960,70.9175,47.2783,61.9509,39.9420,52.9843,39.1269,47.2783,43.2026,44.0177,41.5723,35.8663,348.0000,127.0000,55.0000,44.0000,27.0000,20.0000,11.0000,11.0000,7.0000,6.0000,5.0000,6.0000,6.0000,3.0000,11.0000,6.0000,9.0000,5.0000,6.0000,299.8379,129.9544,67.2879,50.0962,35.4925,22.7374,21.2585,20.7040,16.0825,10.7217,14.0491,9.0580,12.0157,8.8731,10.7217,9.7974,9.9823,9.4277,8.1337,3367.0000,3369.8017,767.0000,764.1983
all,713.0000,561375.0000,3432.0000,187125.0000,767.0000,561375.0000,3367.0000,187125.0000,GammaExpo,25,-119.5463,0.5393,0.0000,0.0000,0.0410,0.0000,0.0000,0.0016,0.4561,0.0030,0.5393,NA,NA,NA,NA,NA,35753.237707,0.297852,48.982948,0.000835,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006762,0.918655,0.730751,0.735318,0.657162,0.508576,0.557619,0.623226,0.546472,0.405928,0.586453,0.413262,0.594772,0.473504,0.613359,0.597773,0.646348,0.644311,0.582405,1274.0000,576.0000,309.0000,227.0000,165.0000,103.0000,104.0000,101.0000,80.0000,52.0000,71.0000,43.0000,59.0000,45.0000,47.0000,47.0000,45.0000,46.0000,38.0000,1265.2991,581.1864,308.2064,232.5994,166.3012,107.2502,100.7936,98.5709,76.8278,51.3621,67.4581,43.5750,57.8896,42.7945,51.7388,47.2726,48.1072,45.2915,38.7851,348.0000,127.0000,55.0000,44.0000,27.0000,20.0000,11.0000,11.0000,7.0000,6.0000,5.0000,6.0000,6.0000,3.0000,11.0000,6.0000,9.0000,5.0000,6.0000,356.7009,121.8136,55.7936,38.4006,25.6988,15.7498,14.2064,13.4291,10.1722,6.6379,8.5419,5.4250,7.1104,5.2055,6.2612,5.7274,5.8928,5.7085,5.2149,3367.0000,3365.1910,767.0000,768.8090
all,713.0000,561375.0000,3432.0000,187125.0000,767.0000,561375.0000,3367.0000,187125.0000,Saturated,40,-112.4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274.0000,576.0000,309.0000,227.0000,165.0000,103.0000,104.0000,101.0000,80.0000,52.0000,71.0000,43.0000,59.0000,45.0000,47.0000,47.0000,45.0000,46.0000,38.0000,1274.0000,576.0000,309.0000,227.0000,165.0000,103.0000,104.0000,101.0000,80.0000,52.0000,71.0000,43.0000,59.0000,45.0000,47.0000,47.0000,45.0000,46.0000,38.0000,348.0000,127.0000,55.0000,44.0000,27.0000,20.0000,11.0000,11.0000,7.0000,6.0000,5.0000,6.0000,6.0000,3.0000,11.0000,6.0000,9.0000,5.0000,6.0000,348.0000,127.0000,55.0000,44.0000,27.0000,20.0000,11.0000,11.0000,7.0000,6.0000,5.0000,6.0000,6.0000,3.0000,11.0000,6.0000,9.0000,5.0000,6.0000,3367.0000,3367.0000,767.0000,767.0000
