dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,706.0000,561375.0000,3135.0000,187125.0000,734.0000,561375.0000,3216.0000,187125.0000,Neutral,22,-147.2848,0.0133,NA, NA,0.0010,NA,NA,NA,NA,NA,NA,0.061908,0.0100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115.0000,531.0000,300.0000,200.0000,130.0000,127.0000,83.0000,75.0000,66.0000,50.0000,54.0000,49.0000,41.0000,47.0000,36.0000,53.0000,54.0000,55.0000,69.0000,1182.3279,544.7502,279.2965,186.4691,131.0983,119.6985,83.8704,69.2134,62.6992,48.8565,48.8565,42.3423,35.8281,44.7851,36.6424,49.6708,49.6708,50.4851,61.0707,337.0000,138.0000,43.0000,29.0000,31.0000,20.0000,20.0000,10.0000,11.0000,10.0000,6.0000,3.0000,3.0000,8.0000,9.0000,8.0000,7.0000,7.0000,6.0000,269.6721,124.2498,63.7035,42.5309,29.9017,27.3015,19.1296,15.7866,14.3008,11.1435,11.1435,9.6577,8.1719,10.2149,8.3576,11.3292,11.3292,11.5149,13.9293,3216.0000,3216.3878,734.0000,733.6122
all,706.0000,561375.0000,3135.0000,187125.0000,734.0000,561375.0000,3216.0000,187125.0000,GammaExpo,25,-123.0977,0.1457,0.0000,0.0000,0.0111,0.0000,0.0000,0.0012,0.1575,0.6956,0.1457,NA,NA,NA,NA,NA,4701.927528,0.513838,1.751207,0.027914,0.076698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006393,0.983750,0.770114,0.688928,0.605103,0.660435,0.536471,0.501648,0.505729,0.432048,0.467534,0.433205,0.387219,0.504703,0.423898,0.577335,0.560294,0.515448,0.460814,1115.0000,531.0000,300.0000,200.0000,130.0000,127.0000,83.0000,75.0000,66.0000,50.0000,54.0000,49.0000,41.0000,47.0000,36.0000,53.0000,54.0000,55.0000,69.0000,1109.4197,548.3352,287.7103,194.1966,137.3796,125.9136,88.4409,73.1003,66.2878,51.6880,51.7152,44.8449,37.9771,47.5391,38.9947,53.1010,53.5426,55.2790,69.0731,337.0000,138.0000,43.0000,29.0000,31.0000,20.0000,20.0000,10.0000,11.0000,10.0000,6.0000,3.0000,3.0000,8.0000,9.0000,8.0000,7.0000,7.0000,6.0000,342.5803,120.6648,55.2897,34.8034,23.6204,21.0864,14.5591,11.8997,10.7122,8.3120,8.2848,7.1551,6.0229,7.4609,6.0053,7.8990,7.4574,6.7210,5.9269,3216.0000,3217.1335,734.0000,732.8665
all,706.0000,561375.0000,3135.0000,187125.0000,734.0000,561375.0000,3216.0000,187125.0000,Saturated,40,-112.4977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115.0000,531.0000,300.0000,200.0000,130.0000,127.0000,83.0000,75.0000,66.0000,50.0000,54.0000,49.0000,41.0000,47.0000,36.0000,53.0000,54.0000,55.0000,69.0000,1115.0000,531.0000,300.0000,200.0000,130.0000,127.0000,83.0000,75.0000,66.0000,50.0000,54.0000,49.0000,41.0000,47.0000,36.0000,53.0000,54.0000,55.0000,69.0000,337.0000,138.0000,43.0000,29.0000,31.0000,20.0000,20.0000,10.0000,11.0000,10.0000,6.0000,3.0000,3.0000,8.0000,9.0000,8.0000,7.0000,7.0000,6.0000,337.0000,138.0000,43.0000,29.0000,31.0000,20.0000,20.0000,10.0000,11.0000,10.0000,6.0000,3.0000,3.0000,8.0000,9.0000,8.0000,7.0000,7.0000,6.0000,3216.0000,3216.0000,734.0000,734.0000
