dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,691.0000,561375.0000,3589.0000,187125.0000,265.0000,561375.0000,1620.0000,187125.0000,Neutral,22,-167.3907,-0.1770,NA, NA,-0.0097,NA,NA,NA,NA,NA,NA,0.047604,0.0120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.0000,511.0000,278.0000,235.0000,220.0000,159.0000,130.0000,125.0000,86.0000,114.0000,73.0000,80.0000,86.0000,71.0000,108.0000,69.0000,77.0000,75.0000,77.0000,1119.4891,527.1713,295.7303,240.0130,222.0120,155.1512,122.5781,114.8633,84.0045,106.2915,69.4323,75.4326,81.4330,65.1464,106.2915,66.8608,72.0039,72.0039,72.8611,291.0000,104.0000,67.0000,45.0000,39.0000,22.0000,13.0000,9.0000,12.0000,10.0000,8.0000,8.0000,9.0000,5.0000,16.0000,9.0000,7.0000,9.0000,8.0000,186.5109,87.8287,49.2697,39.9870,36.9880,25.8488,20.4219,19.1367,13.9955,17.7085,11.5677,12.5674,13.5670,10.8536,17.7085,11.1392,11.9961,11.9961,12.1389,1620.0000,1615.8016,265.0000,269.1984
all,691.0000,561375.0000,3589.0000,187125.0000,265.0000,561375.0000,1620.0000,187125.0000,GammaExpo,25,-124.5362,0.3821,0.0000,0.0000,0.0209,0.0000,0.0000,0.0024,0.6128,0.0027,0.3821,NA,NA,NA,NA,NA,17056.054546,0.328585,43.623675,0.000474,0.005725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005416,1.005999,0.869147,0.954391,1.114133,0.940724,0.871529,0.936989,0.773218,1.089478,0.784041,0.930013,1.087736,0.936299,1.633130,1.091012,1.238009,1.287938,1.306869,1015.0000,511.0000,278.0000,235.0000,220.0000,159.0000,130.0000,125.0000,86.0000,114.0000,73.0000,80.0000,86.0000,71.0000,108.0000,69.0000,77.0000,75.0000,77.0000,1008.0234,507.2059,292.2484,240.7854,224.9774,158.3874,125.8541,118.4807,86.9841,110.4209,72.3321,78.7738,85.2195,68.3002,111.6110,70.2973,75.7807,75.8412,76.8970,291.0000,104.0000,67.0000,45.0000,39.0000,22.0000,13.0000,9.0000,12.0000,10.0000,8.0000,8.0000,9.0000,5.0000,16.0000,9.0000,7.0000,9.0000,8.0000,297.9766,107.7941,52.7516,39.2146,34.0226,22.6126,17.1459,15.5193,11.0159,13.5791,8.6679,9.2262,9.7805,7.6998,12.3890,7.7027,8.2193,8.1588,8.1030,1620.0000,1619.7060,265.0000,265.2940
all,691.0000,561375.0000,3589.0000,187125.0000,265.0000,561375.0000,1620.0000,187125.0000,Saturated,40,-116.7397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015.0000,511.0000,278.0000,235.0000,220.0000,159.0000,130.0000,125.0000,86.0000,114.0000,73.0000,80.0000,86.0000,71.0000,108.0000,69.0000,77.0000,75.0000,77.0000,1015.0000,511.0000,278.0000,235.0000,220.0000,159.0000,130.0000,125.0000,86.0000,114.0000,73.0000,80.0000,86.0000,71.0000,108.0000,69.0000,77.0000,75.0000,77.0000,291.0000,104.0000,67.0000,45.0000,39.0000,22.0000,13.0000,9.0000,12.0000,10.0000,8.0000,8.0000,9.0000,5.0000,16.0000,9.0000,7.0000,9.0000,8.0000,291.0000,104.0000,67.0000,45.0000,39.0000,22.0000,13.0000,9.0000,12.0000,10.0000,8.0000,8.0000,9.0000,5.0000,16.0000,9.0000,7.0000,9.0000,8.0000,1620.0000,1620.0000,265.0000,265.0000
