dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,1028.0000,561375.0000,5607.0000,187125.0000,308.0000,561375.0000,2720.0000,187125.0000,Neutral,22,-241.7358,-0.6191,NA, NA,-0.0234,NA,NA,NA,NA,NA,NA,0.035740,0.0060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1785.0000,806.0000,562.0000,374.0000,329.0000,267.0000,193.0000,176.0000,145.0000,126.0000,136.0000,98.0000,115.0000,98.0000,101.0000,71.0000,72.0000,84.0000,69.0000,2018.5751,843.6769,579.4141,393.7159,327.6502,272.2978,195.5188,177.6632,148.2014,129.4531,137.4881,99.0986,116.0614,99.9913,96.4202,69.6368,68.7440,82.1357,67.8513,476.0000,139.0000,87.0000,67.0000,38.0000,38.0000,26.0000,23.0000,21.0000,19.0000,18.0000,13.0000,15.0000,14.0000,7.0000,7.0000,5.0000,8.0000,7.0000,242.4249,101.3231,69.5859,47.2841,39.3498,32.7022,23.4812,21.3368,17.7986,15.5469,16.5119,11.9014,13.9386,12.0087,11.5798,8.3632,8.2560,9.8643,8.1487,2720.0000,2703.3372,308.0000,324.6628
all,1028.0000,561375.0000,5607.0000,187125.0000,308.0000,561375.0000,2720.0000,187125.0000,GammaExpo,25,-127.4910,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.1724,0.8256,0.0002,NA,NA,NA,NA,NA,3263.907203,0.623896,0.001054,0.032943,0.022538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009758,0.892970,0.938066,0.857062,0.895326,0.894739,0.750054,0.778659,0.729809,0.706774,0.823057,0.644275,0.812404,0.747314,0.762662,0.576718,0.586637,0.699486,0.519798,1785.0000,806.0000,562.0000,374.0000,329.0000,267.0000,193.0000,176.0000,145.0000,126.0000,136.0000,98.0000,115.0000,98.0000,101.0000,71.0000,72.0000,84.0000,69.0000,1787.0640,798.9720,560.3885,384.6466,322.0697,268.7999,193.6274,176.3987,147.4677,129.0607,137.3157,99.1449,116.3192,100.4030,97.0290,70.2701,69.6411,83.7553,70.2230,476.0000,139.0000,87.0000,67.0000,38.0000,38.0000,26.0000,23.0000,21.0000,19.0000,18.0000,13.0000,15.0000,14.0000,7.0000,7.0000,5.0000,8.0000,7.0000,473.9360,146.0280,88.6115,56.3534,44.9303,36.2001,25.3726,22.6013,18.5323,15.9393,16.6843,11.8551,13.6808,11.5970,10.9710,7.7299,7.3589,8.2447,5.7770,2720.0000,2714.7168,308.0000,313.2832
all,1028.0000,561375.0000,5607.0000,187125.0000,308.0000,561375.0000,2720.0000,187125.0000,Saturated,40,-122.9309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1785.0000,806.0000,562.0000,374.0000,329.0000,267.0000,193.0000,176.0000,145.0000,126.0000,136.0000,98.0000,115.0000,98.0000,101.0000,71.0000,72.0000,84.0000,69.0000,1785.0000,806.0000,562.0000,374.0000,329.0000,267.0000,193.0000,176.0000,145.0000,126.0000,136.0000,98.0000,115.0000,98.0000,101.0000,71.0000,72.0000,84.0000,69.0000,476.0000,139.0000,87.0000,67.0000,38.0000,38.0000,26.0000,23.0000,21.0000,19.0000,18.0000,13.0000,15.0000,14.0000,7.0000,7.0000,5.0000,8.0000,7.0000,476.0000,139.0000,87.0000,67.0000,38.0000,38.0000,26.0000,23.0000,21.0000,19.0000,18.0000,13.0000,15.0000,14.0000,7.0000,7.0000,5.0000,8.0000,7.0000,2720.0000,2720.0000,308.0000,308.0000
