dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,1060.0000,561375.0000,5714.0000,187125.0000,282.0000,561375.0000,2659.0000,187125.0000,Neutral,22,-277.8558,-0.7492,NA, NA,-0.0265,NA,NA,NA,NA,NA,NA,0.034146,0.0060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874.0000,826.0000,542.0000,378.0000,286.0000,240.0000,180.0000,208.0000,151.0000,150.0000,124.0000,120.0000,105.0000,118.0000,78.0000,93.0000,82.0000,69.0000,90.0000,2139.7896,876.0213,568.1572,380.5666,301.5811,246.8298,181.3077,208.2346,151.6881,156.1759,122.9661,115.7856,99.6295,118.4783,81.6782,91.5514,79.8831,66.4196,93.3465,510.0000,150.0000,91.0000,46.0000,50.0000,35.0000,22.0000,24.0000,18.0000,24.0000,13.0000,9.0000,6.0000,14.0000,13.0000,9.0000,7.0000,5.0000,14.0000,244.2104,99.9787,64.8428,43.4334,34.4189,28.1702,20.6923,23.7654,17.3119,17.8241,14.0339,13.2144,11.3705,13.5217,9.3218,10.4486,9.1169,7.5804,10.6535,2659.0000,2639.7321,282.0000,301.2679
all,1060.0000,561375.0000,5714.0000,187125.0000,282.0000,561375.0000,2659.0000,187125.0000,GammaExpo,25,-131.0397,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,0.3684,0.6285,0.0005,NA,NA,NA,NA,NA,4778.043086,0.500598,0.000213,0.049212,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010020,0.876359,0.872913,0.789045,0.787532,0.777585,0.669033,0.880934,0.723787,0.829784,0.719991,0.740759,0.691484,0.886665,0.655658,0.784703,0.728158,0.641592,0.952536,1874.0000,826.0000,542.0000,378.0000,286.0000,240.0000,180.0000,208.0000,151.0000,150.0000,124.0000,120.0000,105.0000,118.0000,78.0000,93.0000,82.0000,69.0000,90.0000,1875.0198,821.5955,545.5764,369.8689,295.3275,242.9977,179.2070,206.4711,150.7905,155.5861,122.7270,115.7449,99.7343,118.7511,81.9581,91.9583,80.3124,66.8332,94.0013,510.0000,150.0000,91.0000,46.0000,50.0000,35.0000,22.0000,24.0000,18.0000,24.0000,13.0000,9.0000,6.0000,14.0000,13.0000,9.0000,7.0000,5.0000,14.0000,508.9802,154.4045,87.4236,54.1311,40.6725,32.0023,22.7930,25.5289,18.2095,18.4139,14.2730,13.2551,11.2657,13.2489,9.0419,10.0417,8.6876,7.1668,9.9987,2659.0000,2658.3680,282.0000,282.6320
all,1060.0000,561375.0000,5714.0000,187125.0000,282.0000,561375.0000,2659.0000,187125.0000,Saturated,40,-123.0308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1874.0000,826.0000,542.0000,378.0000,286.0000,240.0000,180.0000,208.0000,151.0000,150.0000,124.0000,120.0000,105.0000,118.0000,78.0000,93.0000,82.0000,69.0000,90.0000,1874.0000,826.0000,542.0000,378.0000,286.0000,240.0000,180.0000,208.0000,151.0000,150.0000,124.0000,120.0000,105.0000,118.0000,78.0000,93.0000,82.0000,69.0000,90.0000,510.0000,150.0000,91.0000,46.0000,50.0000,35.0000,22.0000,24.0000,18.0000,24.0000,13.0000,9.0000,6.0000,14.0000,13.0000,9.0000,7.0000,5.0000,14.0000,510.0000,150.0000,91.0000,46.0000,50.0000,35.0000,22.0000,24.0000,18.0000,24.0000,13.0000,9.0000,6.0000,14.0000,13.0000,9.0000,7.0000,5.0000,14.0000,2659.0000,2659.0000,282.0000,282.0000
