dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,326.0000,561375.0000,1008.0000,187125.0000,2577.0000,561375.0000,3685.0000,187125.0000,Neutral,22,-181.7874,0.5375,NA, NA,0.1253,NA,NA,NA,NA,NA,NA,0.136559,0.0020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.0000,119.0000,78.0000,34.0000,24.0000,18.0000,14.0000,12.0000,12.0000,6.0000,9.0000,15.0000,11.0000,14.0000,9.0000,6.0000,13.0000,11.0000,25.0000,468.1265,88.5485,51.9485,27.7452,18.3000,11.8065,10.6258,11.2161,10.6258,5.3129,7.6742,10.6258,7.6742,10.0355,5.9032,4.7226,8.8549,8.2645,19.4807,215.0000,31.0000,10.0000,13.0000,7.0000,2.0000,4.0000,7.0000,6.0000,3.0000,4.0000,3.0000,2.0000,3.0000,1.0000,2.0000,2.0000,3.0000,8.0000,324.8735,61.4515,36.0515,19.2548,12.7000,8.1935,7.3742,7.7839,7.3742,3.6871,5.3258,7.3742,5.3258,6.9645,4.0968,3.2774,6.1451,5.7355,13.5193,3685.0000,3696.6057,2577.0000,2565.3943
all,326.0000,561375.0000,1008.0000,187125.0000,2577.0000,561375.0000,3685.0000,187125.0000,GammaExpo,25,-98.1598,0.5478,0.0000,0.0000,0.1276,0.0000,0.0000,0.0002,0.0070,0.4449,0.5478,NA,NA,NA,NA,NA,1034.493313,0.981454,3.629108,0.058145,0.068605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003313,0.409427,0.364263,0.258631,0.211553,0.162033,0.167939,0.199550,0.209000,0.113803,0.176669,0.259708,0.196759,0.266491,0.159972,0.128091,0.233323,0.199664,0.364339,578.0000,119.0000,78.0000,34.0000,24.0000,18.0000,14.0000,12.0000,12.0000,6.0000,9.0000,15.0000,11.0000,14.0000,9.0000,6.0000,13.0000,11.0000,25.0000,579.6423,119.1698,71.0202,38.0210,25.0301,16.0853,14.4021,15.1098,14.2167,7.0551,10.1084,13.8771,9.9346,12.8799,7.5186,5.9844,11.2326,10.6507,26.5676,215.0000,31.0000,10.0000,13.0000,7.0000,2.0000,4.0000,7.0000,6.0000,3.0000,4.0000,3.0000,2.0000,3.0000,1.0000,2.0000,2.0000,3.0000,8.0000,213.3577,30.8302,16.9798,8.9790,5.9699,3.9147,3.5979,3.8902,3.7833,1.9449,2.8916,4.1229,3.0654,4.1201,2.4814,2.0156,3.7674,3.3493,6.4324,3685.0000,3686.3368,2577.0000,2575.6632
all,326.0000,561375.0000,1008.0000,187125.0000,2577.0000,561375.0000,3685.0000,187125.0000,Saturated,40,-89.3597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.0000,119.0000,78.0000,34.0000,24.0000,18.0000,14.0000,12.0000,12.0000,6.0000,9.0000,15.0000,11.0000,14.0000,9.0000,6.0000,13.0000,11.0000,25.0000,578.0000,119.0000,78.0000,34.0000,24.0000,18.0000,14.0000,12.0000,12.0000,6.0000,9.0000,15.0000,11.0000,14.0000,9.0000,6.0000,13.0000,11.0000,25.0000,215.0000,31.0000,10.0000,13.0000,7.0000,2.0000,4.0000,7.0000,6.0000,3.0000,4.0000,3.0000,2.0000,3.0000,1.0000,2.0000,2.0000,3.0000,8.0000,215.0000,31.0000,10.0000,13.0000,7.0000,2.0000,4.0000,7.0000,6.0000,3.0000,4.0000,3.0000,2.0000,3.0000,1.0000,2.0000,2.0000,3.0000,8.0000,3685.0000,3685.0000,2577.0000,2577.0000
