dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,1094.0000,561375.0000,6427.0000,187125.0000,227.0000,561375.0000,2279.0000,187125.0000,Neutral,22,-248.1032,-0.7089,NA, NA,-0.0235,NA,NA,NA,NA,NA,NA,0.032689,0.0030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1878.0000,894.0000,624.0000,426.0000,394.0000,311.0000,230.0000,199.0000,217.0000,155.0000,150.0000,126.0000,133.0000,127.0000,116.0000,128.0000,114.0000,104.0000,101.0000,2088.8736,936.2050,655.7043,445.5542,406.7712,311.1664,235.4042,208.3462,214.6597,165.0535,154.2303,126.2704,136.1917,128.9762,116.3492,124.4666,119.9569,101.0163,108.2318,438.0000,144.0000,103.0000,68.0000,57.0000,34.0000,31.0000,32.0000,21.0000,28.0000,21.0000,14.0000,18.0000,16.0000,13.0000,10.0000,19.0000,8.0000,19.0000,227.1264,101.7950,71.2957,48.4458,44.2288,33.8336,25.5958,22.6538,23.3403,17.9465,16.7697,13.7296,14.8083,14.0238,12.6508,13.5334,13.0431,10.9837,11.7682,2279.0000,2260.2406,227.0000,245.7594
all,1094.0000,561375.0000,6427.0000,187125.0000,227.0000,561375.0000,2279.0000,187125.0000,GammaExpo,25,-138.0943,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.5867,0.4101,0.0009,NA,NA,NA,NA,NA,55793.681281,0.334799,0.002025,0.014960,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010049,0.937262,1.002220,0.917004,1.053353,0.971581,0.860726,0.873251,1.014729,0.868792,0.894674,0.800387,0.936589,0.956462,0.925564,1.057309,1.083785,0.967252,1.094869,1878.0000,894.0000,624.0000,426.0000,394.0000,311.0000,230.0000,199.0000,217.0000,155.0000,150.0000,126.0000,133.0000,127.0000,116.0000,128.0000,114.0000,104.0000,101.0000,1880.5019,881.2615,628.2258,431.1070,396.1665,304.5100,231.2282,205.2688,212.0223,163.3764,152.9487,125.4275,135.4814,128.4734,116.0350,124.2670,119.8858,101.0511,108.3633,438.0000,144.0000,103.0000,68.0000,57.0000,34.0000,31.0000,32.0000,21.0000,28.0000,21.0000,14.0000,18.0000,16.0000,13.0000,10.0000,19.0000,8.0000,19.0000,435.4981,156.7385,98.7742,62.8930,54.8335,40.4900,29.7718,25.7312,25.9777,19.6236,18.0513,14.5725,15.5186,14.5266,12.9650,13.7330,13.1142,10.9489,11.6367,2279.0000,2260.8163,227.0000,245.1837
all,1094.0000,561375.0000,6427.0000,187125.0000,227.0000,561375.0000,2279.0000,187125.0000,Saturated,40,-127.3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1878.0000,894.0000,624.0000,426.0000,394.0000,311.0000,230.0000,199.0000,217.0000,155.0000,150.0000,126.0000,133.0000,127.0000,116.0000,128.0000,114.0000,104.0000,101.0000,1878.0000,894.0000,624.0000,426.0000,394.0000,311.0000,230.0000,199.0000,217.0000,155.0000,150.0000,126.0000,133.0000,127.0000,116.0000,128.0000,114.0000,104.0000,101.0000,438.0000,144.0000,103.0000,68.0000,57.0000,34.0000,31.0000,32.0000,21.0000,28.0000,21.0000,14.0000,18.0000,16.0000,13.0000,10.0000,19.0000,8.0000,19.0000,438.0000,144.0000,103.0000,68.0000,57.0000,34.0000,31.0000,32.0000,21.0000,28.0000,21.0000,14.0000,18.0000,16.0000,13.0000,10.0000,19.0000,8.0000,19.0000,2279.0000,2279.0000,227.0000,227.0000
