dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,1046.0000,561375.0000,6077.0000,187125.0000,222.0000,561375.0000,2169.0000,187125.0000,Neutral,22,-249.0625,-0.6817,NA, NA,-0.0233,NA,NA,NA,NA,NA,NA,0.033389,0.0090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583.0000,767.0000,498.0000,422.0000,368.0000,344.0000,252.0000,242.0000,208.0000,164.0000,173.0000,153.0000,146.0000,165.0000,142.0000,120.0000,98.0000,105.0000,127.0000,1778.0691,819.7475,533.6007,439.1183,370.7310,359.9330,248.3538,247.4540,203.3622,167.3689,175.4673,150.2720,151.1719,162.8697,144.8730,122.3772,101.6811,107.9799,125.0767,393.0000,144.0000,95.0000,66.0000,44.0000,56.0000,24.0000,33.0000,18.0000,22.0000,22.0000,14.0000,22.0000,16.0000,19.0000,16.0000,15.0000,15.0000,12.0000,197.9309,91.2525,59.3993,48.8817,41.2690,40.0670,27.6462,27.5460,22.6378,18.6311,19.5327,16.7280,16.8281,18.1303,16.1270,13.6228,11.3189,12.0201,13.9233,2169.0000,2151.4996,222.0000,239.5004
all,1046.0000,561375.0000,6077.0000,187125.0000,222.0000,561375.0000,2169.0000,187125.0000,GammaExpo,25,-136.0254,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0028,0.6610,0.3354,0.0008,NA,NA,NA,NA,NA,29262.704357,0.346448,0.002551,0.012006,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008430,0.971844,0.968774,1.075281,1.143460,1.339630,1.083075,1.237637,1.147593,1.052035,1.215856,1.138095,1.242423,1.443731,1.377839,1.243054,1.098663,1.236685,1.513592,1583.0000,767.0000,498.0000,422.0000,368.0000,344.0000,252.0000,242.0000,208.0000,164.0000,173.0000,153.0000,146.0000,165.0000,142.0000,120.0000,98.0000,105.0000,127.0000,1577.5108,766.5476,509.4172,424.0667,360.7642,352.2134,244.0804,244.0483,201.1490,165.9596,174.3660,149.6131,150.7643,162.6786,144.9037,122.5582,101.9502,108.3824,125.6688,393.0000,144.0000,95.0000,66.0000,44.0000,56.0000,24.0000,33.0000,18.0000,22.0000,22.0000,14.0000,22.0000,16.0000,19.0000,16.0000,15.0000,15.0000,12.0000,398.4892,144.4524,83.5828,63.9333,51.2358,47.7866,31.9196,30.9517,24.8510,20.0404,20.6340,17.3869,17.2357,18.3214,16.0963,13.4418,11.0498,11.6176,13.3312,2169.0000,2160.2247,222.0000,230.7753
all,1046.0000,561375.0000,6077.0000,187125.0000,222.0000,561375.0000,2169.0000,187125.0000,Saturated,40,-127.8426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583.0000,767.0000,498.0000,422.0000,368.0000,344.0000,252.0000,242.0000,208.0000,164.0000,173.0000,153.0000,146.0000,165.0000,142.0000,120.0000,98.0000,105.0000,127.0000,1583.0000,767.0000,498.0000,422.0000,368.0000,344.0000,252.0000,242.0000,208.0000,164.0000,173.0000,153.0000,146.0000,165.0000,142.0000,120.0000,98.0000,105.0000,127.0000,393.0000,144.0000,95.0000,66.0000,44.0000,56.0000,24.0000,33.0000,18.0000,22.0000,22.0000,14.0000,22.0000,16.0000,19.0000,16.0000,15.0000,15.0000,12.0000,393.0000,144.0000,95.0000,66.0000,44.0000,56.0000,24.0000,33.0000,18.0000,22.0000,22.0000,14.0000,22.0000,16.0000,19.0000,16.0000,15.0000,15.0000,12.0000,2169.0000,2169.0000,222.0000,222.0000
