dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,352.0000,561375.0000,1076.0000,187125.0000,2930.0000,561375.0000,3858.0000,187125.0000,Neutral,22,-209.8797,0.5693,NA, NA,0.1441,NA,NA,NA,NA,NA,NA,0.143206,0.0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.0000,176.0000,87.0000,47.0000,27.0000,30.0000,34.0000,27.0000,16.0000,10.0000,11.0000,17.0000,11.0000,7.0000,9.0000,10.0000,9.0000,7.0000,7.0000,423.7949,130.6178,56.4680,35.3638,19.3930,19.9634,22.2450,19.3930,13.6892,8.5558,7.9854,12.5484,6.2742,6.2742,6.8446,7.4150,7.4150,5.1335,5.1335,209.0000,53.0000,12.0000,15.0000,7.0000,5.0000,5.0000,7.0000,8.0000,5.0000,3.0000,5.0000,0.0000,4.0000,3.0000,3.0000,4.0000,2.0000,2.0000,319.2051,98.3822,42.5320,26.6362,14.6070,15.0366,16.7550,14.6070,10.3108,6.4442,6.0146,9.4516,4.7258,4.7258,5.1554,5.5850,5.5850,3.8665,3.8665,3858.0000,3871.7628,2930.0000,2916.2372
all,352.0000,561375.0000,1076.0000,187125.0000,2930.0000,561375.0000,3858.0000,187125.0000,GammaExpo,25,-99.6113,0.6679,0.0000,0.0000,0.1691,0.0000,0.0000,0.0003,0.0263,0.3055,0.6679,NA,NA,NA,NA,NA,1405.138156,0.700967,4.823552,0.048218,0.048915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002991,0.671834,0.444333,0.372367,0.254564,0.312490,0.402620,0.396638,0.310703,0.212290,0.213799,0.358229,0.188787,0.196606,0.220343,0.241034,0.237233,0.154032,0.125524,534.0000,176.0000,87.0000,47.0000,27.0000,30.0000,34.0000,27.0000,16.0000,10.0000,11.0000,17.0000,11.0000,7.0000,9.0000,10.0000,9.0000,7.0000,7.0000,533.8074,179.8529,79.5649,50.1961,27.5689,28.3377,31.4682,27.2996,19.1520,11.8828,10.9976,17.1184,8.4695,8.3733,9.0268,9.6698,9.5942,6.6643,6.9539,209.0000,53.0000,12.0000,15.0000,7.0000,5.0000,5.0000,7.0000,8.0000,5.0000,3.0000,5.0000,0.0000,4.0000,3.0000,3.0000,4.0000,2.0000,2.0000,209.1926,49.1471,19.4351,11.8039,6.4311,6.6623,7.5318,6.7004,4.8480,3.1172,3.0024,4.8816,2.5305,2.6267,2.9732,3.3302,3.4058,2.3357,2.0461,3858.0000,3857.1767,2930.0000,2930.8233
all,352.0000,561375.0000,1076.0000,187125.0000,2930.0000,561375.0000,3858.0000,187125.0000,Saturated,40,-90.8396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.0000,176.0000,87.0000,47.0000,27.0000,30.0000,34.0000,27.0000,16.0000,10.0000,11.0000,17.0000,11.0000,7.0000,9.0000,10.0000,9.0000,7.0000,7.0000,534.0000,176.0000,87.0000,47.0000,27.0000,30.0000,34.0000,27.0000,16.0000,10.0000,11.0000,17.0000,11.0000,7.0000,9.0000,10.0000,9.0000,7.0000,7.0000,209.0000,53.0000,12.0000,15.0000,7.0000,5.0000,5.0000,7.0000,8.0000,5.0000,3.0000,5.0000,0.0000,4.0000,3.0000,3.0000,4.0000,2.0000,2.0000,209.0000,53.0000,12.0000,15.0000,7.0000,5.0000,5.0000,7.0000,8.0000,5.0000,3.0000,5.0000,0.0000,4.0000,3.0000,3.0000,4.0000,2.0000,2.0000,3858.0000,3858.0000,2930.0000,2930.0000
