dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,1259.0000,561375.0000,7187.0000,187125.0000,260.0000,561375.0000,1700.0000,187125.0000,Neutral,22,-209.5529,-0.1454,NA, NA,-0.0074,NA,NA,NA,NA,NA,NA,0.045229,0.0080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1759.0000,911.0000,546.0000,355.0000,326.0000,714.0000,365.0000,187.0000,161.0000,179.0000,151.0000,143.0000,298.0000,585.0000,96.0000,77.0000,115.0000,109.0000,110.0000,1955.9401,914.4431,551.4316,355.2326,310.2883,701.8221,357.8255,184.0987,158.1693,173.7269,144.3403,134.8328,291.2735,573.9038,95.9387,82.1097,104.5819,103.7176,106.3105,504.0000,147.0000,92.0000,56.0000,33.0000,98.0000,49.0000,26.0000,22.0000,22.0000,16.0000,13.0000,39.0000,79.0000,15.0000,18.0000,6.0000,11.0000,13.0000,307.0599,143.5569,86.5684,55.7674,48.7117,110.1779,56.1745,28.9013,24.8307,27.2731,22.6597,21.1672,45.7265,90.0962,15.0613,12.8903,16.4181,16.2824,16.6895,1700.0000,1694.0533,260.0000,265.9467
all,1259.0000,561375.0000,7187.0000,187125.0000,260.0000,561375.0000,1700.0000,187125.0000,GammaExpo,25,-139.3061,0.0081,0.0000,0.0000,0.0004,0.0000,0.0000,0.0013,0.0933,0.8973,0.0081,NA,NA,NA,NA,NA,1604.569480,0.750373,0.791283,0.029760,0.020638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009615,1.016719,0.940086,0.814034,0.891664,2.422139,1.439797,0.845097,0.814616,0.990542,0.901068,0.912830,2.120286,4.455277,0.787516,0.705432,0.926460,0.919895,0.857985,1759.0000,911.0000,546.0000,355.0000,326.0000,714.0000,365.0000,187.0000,161.0000,179.0000,151.0000,143.0000,298.0000,585.0000,96.0000,77.0000,115.0000,109.0000,110.0000,1764.1000,897.9007,554.2432,360.5010,316.4558,717.7847,366.5600,188.7632,162.2470,178.2262,148.0644,138.2820,298.6519,588.3484,98.3632,84.2409,107.5005,107.1347,111.4338,504.0000,147.0000,92.0000,56.0000,33.0000,98.0000,49.0000,26.0000,22.0000,22.0000,16.0000,13.0000,39.0000,79.0000,15.0000,18.0000,6.0000,11.0000,13.0000,498.9000,160.0993,83.7568,50.4990,42.5442,94.2153,47.4400,24.2368,20.7530,22.7738,18.9356,17.7180,38.3481,75.6516,12.6368,10.7591,13.4995,12.8653,11.5662,1700.0000,1699.9874,260.0000,260.0126
all,1259.0000,561375.0000,7187.0000,187125.0000,260.0000,561375.0000,1700.0000,187125.0000,Saturated,40,-129.4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1759.0000,911.0000,546.0000,355.0000,326.0000,714.0000,365.0000,187.0000,161.0000,179.0000,151.0000,143.0000,298.0000,585.0000,96.0000,77.0000,115.0000,109.0000,110.0000,1759.0000,911.0000,546.0000,355.0000,326.0000,714.0000,365.0000,187.0000,161.0000,179.0000,151.0000,143.0000,298.0000,585.0000,96.0000,77.0000,115.0000,109.0000,110.0000,504.0000,147.0000,92.0000,56.0000,33.0000,98.0000,49.0000,26.0000,22.0000,22.0000,16.0000,13.0000,39.0000,79.0000,15.0000,18.0000,6.0000,11.0000,13.0000,504.0000,147.0000,92.0000,56.0000,33.0000,98.0000,49.0000,26.0000,22.0000,22.0000,16.0000,13.0000,39.0000,79.0000,15.0000,18.0000,6.0000,11.0000,13.0000,1700.0000,1700.0000,260.0000,260.0000
