dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,730.0000,561375.0000,3315.0000,187125.0000,407.0000,561375.0000,3274.0000,187125.0000,Neutral,22,-247.5239,-0.7714,NA, NA,-0.0320,NA,NA,NA,NA,NA,NA,0.038130,0.0070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.0000,486.0000,292.0000,228.0000,200.0000,145.0000,133.0000,114.0000,114.0000,79.0000,83.0000,78.0000,70.0000,50.0000,64.0000,79.0000,56.0000,52.0000,47.0000,1114.0979,535.7943,332.9895,231.1443,203.6904,150.5538,130.1847,118.6718,107.1589,80.5905,82.3618,73.5057,67.3064,52.2510,67.3064,75.2769,58.4503,52.2510,48.7086,313.0000,119.0000,84.0000,33.0000,30.0000,25.0000,14.0000,20.0000,7.0000,12.0000,10.0000,5.0000,6.0000,9.0000,12.0000,6.0000,10.0000,7.0000,8.0000,143.9021,69.2057,43.0105,29.8557,26.3096,19.4462,16.8153,15.3282,13.8411,10.4095,10.6382,9.4943,8.6936,6.7490,8.6936,9.7231,7.5497,6.7490,6.2914,3274.0000,3259.9319,407.0000,421.0681
all,730.0000,561375.0000,3315.0000,187125.0000,407.0000,561375.0000,3274.0000,187125.0000,GammaExpo,25,-130.0823,0.1171,0.0000,0.0000,0.0049,0.0000,0.0000,0.0036,0.8742,0.0051,0.1171,NA,NA,NA,NA,NA,8912.961493,0.342231,16.688501,0.000300,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005021,1.038509,0.998457,0.940215,1.047669,0.937101,0.951573,0.996586,1.016839,0.852863,0.961836,0.939050,0.933763,0.782301,1.081648,1.292345,1.067443,1.011110,0.995010,945.0000,486.0000,292.0000,228.0000,200.0000,145.0000,133.0000,114.0000,114.0000,79.0000,83.0000,78.0000,70.0000,50.0000,64.0000,79.0000,56.0000,52.0000,47.0000,939.5175,487.8486,312.6893,220.8372,196.8607,146.7371,127.7170,117.0387,106.1487,80.1280,82.1511,73.5212,67.4836,52.4990,67.7485,75.8863,58.9930,52.7753,49.2016,313.0000,119.0000,84.0000,33.0000,30.0000,25.0000,14.0000,20.0000,7.0000,12.0000,10.0000,5.0000,6.0000,9.0000,12.0000,6.0000,10.0000,7.0000,8.0000,318.4825,117.1514,63.3107,40.1628,33.1393,23.2629,19.2830,16.9613,14.8513,10.8720,10.8489,9.4788,8.5164,6.5010,8.2515,9.1137,7.0070,6.2247,5.7984,3274.0000,3272.4994,407.0000,408.5006
all,730.0000,561375.0000,3315.0000,187125.0000,407.0000,561375.0000,3274.0000,187125.0000,Saturated,40,-116.0083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945.0000,486.0000,292.0000,228.0000,200.0000,145.0000,133.0000,114.0000,114.0000,79.0000,83.0000,78.0000,70.0000,50.0000,64.0000,79.0000,56.0000,52.0000,47.0000,945.0000,486.0000,292.0000,228.0000,200.0000,145.0000,133.0000,114.0000,114.0000,79.0000,83.0000,78.0000,70.0000,50.0000,64.0000,79.0000,56.0000,52.0000,47.0000,313.0000,119.0000,84.0000,33.0000,30.0000,25.0000,14.0000,20.0000,7.0000,12.0000,10.0000,5.0000,6.0000,9.0000,12.0000,6.0000,10.0000,7.0000,8.0000,313.0000,119.0000,84.0000,33.0000,30.0000,25.0000,14.0000,20.0000,7.0000,12.0000,10.0000,5.0000,6.0000,9.0000,12.0000,6.0000,10.0000,7.0000,8.0000,3274.0000,3274.0000,407.0000,407.0000
