dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,415.0000,561375.0000,1229.0000,187125.0000,2246.0000,561375.0000,3642.0000,187125.0000,Neutral,22,-169.2881,0.4524,NA, NA,0.0930,NA,NA,NA,NA,NA,NA,0.126528,0.0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.0000,187.0000,104.0000,52.0000,41.0000,29.0000,16.0000,13.0000,16.0000,10.0000,4.0000,12.0000,16.0000,8.0000,17.0000,13.0000,15.0000,18.0000,18.0000,563.3366,146.4179,76.9314,42.8086,33.5024,21.7145,13.6491,11.1675,11.7879,6.2041,3.1021,9.9266,13.0287,5.5837,12.4083,8.6858,11.1675,11.7879,16.7512,268.0000,49.0000,20.0000,17.0000,13.0000,6.0000,6.0000,5.0000,3.0000,0.0000,1.0000,4.0000,5.0000,1.0000,3.0000,1.0000,3.0000,1.0000,9.0000,344.6634,89.5821,47.0686,26.1914,20.4976,13.2855,8.3509,6.8325,7.2121,3.7959,1.8979,6.0734,7.9713,3.4163,7.5917,5.3142,6.8325,7.2121,10.2488,3642.0000,3653.0020,2246.0000,2234.9980
all,415.0000,561375.0000,1229.0000,187125.0000,2246.0000,561375.0000,3642.0000,187125.0000,GammaExpo,25,-100.4220,0.7185,0.0000,0.0000,0.1477,0.0000,0.0000,0.0008,0.2800,0.0007,0.7185,NA,NA,NA,NA,NA,32679.129139,0.245313,118.705213,0.001242,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003458,0.554512,0.449443,0.338974,0.335345,0.263007,0.194132,0.182482,0.217636,0.127729,0.070459,0.246558,0.351222,0.162304,0.386624,0.288506,0.393161,0.436692,0.644581,640.0000,187.0000,104.0000,52.0000,41.0000,29.0000,16.0000,13.0000,16.0000,10.0000,4.0000,12.0000,16.0000,8.0000,17.0000,13.0000,15.0000,18.0000,18.0000,647.0176,179.3895,96.9324,54.8305,43.3948,28.3617,17.9438,14.7587,15.6460,8.2643,4.1444,13.2939,17.4805,7.5010,16.6769,11.6668,14.9637,15.6971,21.9503,268.0000,49.0000,20.0000,17.0000,13.0000,6.0000,6.0000,5.0000,3.0000,0.0000,1.0000,4.0000,5.0000,1.0000,3.0000,1.0000,3.0000,1.0000,9.0000,260.9824,56.6105,27.0676,14.1695,10.6052,6.6383,4.0562,3.2413,3.3540,1.7357,0.8556,2.7061,3.5195,1.4990,3.3231,2.3332,3.0363,3.3029,5.0497,3642.0000,3642.2513,2246.0000,2245.7487
all,415.0000,561375.0000,1229.0000,187125.0000,2246.0000,561375.0000,3642.0000,187125.0000,Saturated,40,-90.3908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.0000,187.0000,104.0000,52.0000,41.0000,29.0000,16.0000,13.0000,16.0000,10.0000,4.0000,12.0000,16.0000,8.0000,17.0000,13.0000,15.0000,18.0000,18.0000,640.0000,187.0000,104.0000,52.0000,41.0000,29.0000,16.0000,13.0000,16.0000,10.0000,4.0000,12.0000,16.0000,8.0000,17.0000,13.0000,15.0000,18.0000,18.0000,268.0000,49.0000,20.0000,17.0000,13.0000,6.0000,6.0000,5.0000,3.0000,0.0000,1.0000,4.0000,5.0000,1.0000,3.0000,1.0000,3.0000,1.0000,9.0000,268.0000,49.0000,20.0000,17.0000,13.0000,6.0000,6.0000,5.0000,3.0000,0.0000,1.0000,4.0000,5.0000,1.0000,3.0000,1.0000,3.0000,1.0000,9.0000,3642.0000,3642.0000,2246.0000,2246.0000
