dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,656.0000,561375.0000,3040.0000,187125.0000,796.0000,561375.0000,3336.0000,187125.0000,Neutral,22,-151.1166,0.0956,NA, NA,0.0076,NA,NA,NA,NA,NA,NA,0.063987,0.0100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141.0000,527.0000,291.0000,174.0000,111.0000,86.0000,85.0000,78.0000,71.0000,70.0000,37.0000,36.0000,37.0000,39.0000,30.0000,49.0000,54.0000,56.0000,68.0000,1202.3613,515.5286,266.6527,168.0720,101.0048,82.4199,85.6521,74.3395,62.2190,63.0270,36.3617,31.5135,32.3215,33.9376,26.6653,45.2502,49.2904,51.7145,58.1788,347.0000,111.0000,39.0000,34.0000,14.0000,16.0000,21.0000,14.0000,6.0000,8.0000,8.0000,3.0000,3.0000,3.0000,3.0000,7.0000,7.0000,8.0000,4.0000,285.6387,122.4714,63.3473,39.9280,23.9952,19.5801,20.3479,17.6605,14.7810,14.9730,8.6383,7.4865,7.6785,8.0624,6.3347,10.7498,11.7096,12.2855,13.8212,3336.0000,3338.8152,796.0000,793.1848
all,656.0000,561375.0000,3040.0000,187125.0000,796.0000,561375.0000,3336.0000,187125.0000,GammaExpo,25,-118.4838,0.2537,0.0000,0.0000,0.0201,0.0000,0.0000,0.0010,0.0984,0.6470,0.2537,NA,NA,NA,NA,NA,2559.411588,0.620947,2.199732,0.026628,0.100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006732,0.924823,0.730254,0.615479,0.460874,0.448212,0.538192,0.527319,0.489103,0.540607,0.335645,0.308988,0.332185,0.360259,0.287120,0.481949,0.498645,0.458636,0.361354,1141.0000,527.0000,291.0000,174.0000,111.0000,86.0000,85.0000,78.0000,71.0000,70.0000,37.0000,36.0000,37.0000,39.0000,30.0000,49.0000,54.0000,56.0000,68.0000,1140.3449,530.7149,281.3777,179.2901,108.3704,88.7237,92.3802,80.2641,67.2126,68.0994,39.2911,34.0574,34.9473,36.7372,28.9344,49.3271,54.1921,57.7736,67.0809,347.0000,111.0000,39.0000,34.0000,14.0000,16.0000,21.0000,14.0000,6.0000,8.0000,8.0000,3.0000,3.0000,3.0000,3.0000,7.0000,7.0000,8.0000,4.0000,347.6551,107.2851,48.6223,28.7099,16.6296,13.2763,13.6198,11.7359,9.7874,9.9006,5.7089,4.9426,5.0527,5.2628,4.0656,6.6729,6.8079,6.2264,4.9191,3336.0000,3337.4063,796.0000,794.5937
all,656.0000,561375.0000,3040.0000,187125.0000,796.0000,561375.0000,3336.0000,187125.0000,Saturated,40,-109.9837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1141.0000,527.0000,291.0000,174.0000,111.0000,86.0000,85.0000,78.0000,71.0000,70.0000,37.0000,36.0000,37.0000,39.0000,30.0000,49.0000,54.0000,56.0000,68.0000,1141.0000,527.0000,291.0000,174.0000,111.0000,86.0000,85.0000,78.0000,71.0000,70.0000,37.0000,36.0000,37.0000,39.0000,30.0000,49.0000,54.0000,56.0000,68.0000,347.0000,111.0000,39.0000,34.0000,14.0000,16.0000,21.0000,14.0000,6.0000,8.0000,8.0000,3.0000,3.0000,3.0000,3.0000,7.0000,7.0000,8.0000,4.0000,347.0000,111.0000,39.0000,34.0000,14.0000,16.0000,21.0000,14.0000,6.0000,8.0000,8.0000,3.0000,3.0000,3.0000,3.0000,7.0000,7.0000,8.0000,4.0000,3336.0000,3336.0000,796.0000,796.0000
