dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,730.0000,561375.0000,3853.0000,187125.0000,113.0000,561375.0000,860.0000,187125.0000,Neutral,22,-188.2899,-0.4419,NA, NA,-0.0194,NA,NA,NA,NA,NA,NA,0.041569,0.0120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179.0000,511.0000,326.0000,271.0000,186.0000,161.0000,145.0000,120.0000,90.0000,100.0000,86.0000,88.0000,66.0000,61.0000,62.0000,73.0000,78.0000,107.0000,143.0000,1330.4447,527.8014,320.3571,269.5901,189.9385,163.6797,145.2986,116.4139,88.4046,98.0328,95.4069,89.2798,63.8964,56.8940,57.7693,67.3975,75.2752,113.7880,141.7974,341.0000,92.0000,40.0000,37.0000,31.0000,26.0000,21.0000,13.0000,11.0000,12.0000,23.0000,14.0000,7.0000,4.0000,4.0000,4.0000,8.0000,23.0000,19.0000,189.5553,75.1986,45.6429,38.4099,27.0615,23.3203,20.7014,16.5861,12.5954,13.9672,13.5931,12.7202,9.1036,8.1060,8.2307,9.6025,10.7248,16.2120,20.2026,860.0000,851.6597,113.0000,121.3403
all,730.0000,561375.0000,3853.0000,187125.0000,113.0000,561375.0000,860.0000,187125.0000,GammaExpo,25,-129.6315,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0250,0.9741,0.0001,NA,NA,NA,NA,NA,883.897709,1.097960,0.054346,0.041996,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006302,0.869982,0.808306,0.913481,0.807285,0.836486,0.867409,0.794938,0.679546,0.837653,0.897025,0.915945,0.710279,0.681174,0.741121,0.922334,1.094556,1.751905,2.304409,1179.0000,511.0000,326.0000,271.0000,186.0000,161.0000,145.0000,120.0000,90.0000,100.0000,86.0000,88.0000,66.0000,61.0000,62.0000,73.0000,78.0000,107.0000,143.0000,1179.3101,512.9891,317.7480,269.3192,190.4079,164.4127,146.1349,117.1848,89.0440,98.7852,96.1701,90.0152,64.4338,57.3797,58.2674,67.9824,75.9307,114.7799,143.0323,341.0000,92.0000,40.0000,37.0000,31.0000,26.0000,21.0000,13.0000,11.0000,12.0000,23.0000,14.0000,7.0000,4.0000,4.0000,4.0000,8.0000,23.0000,19.0000,340.6899,90.0109,48.2520,38.6808,26.5921,22.5873,19.8651,15.8152,11.9560,13.2148,12.8299,11.9848,8.5662,7.6203,7.7326,9.0176,10.0693,15.2201,18.9677,860.0000,858.8328,113.0000,114.1672
all,730.0000,561375.0000,3853.0000,187125.0000,113.0000,561375.0000,860.0000,187125.0000,Saturated,40,-116.8498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179.0000,511.0000,326.0000,271.0000,186.0000,161.0000,145.0000,120.0000,90.0000,100.0000,86.0000,88.0000,66.0000,61.0000,62.0000,73.0000,78.0000,107.0000,143.0000,1179.0000,511.0000,326.0000,271.0000,186.0000,161.0000,145.0000,120.0000,90.0000,100.0000,86.0000,88.0000,66.0000,61.0000,62.0000,73.0000,78.0000,107.0000,143.0000,341.0000,92.0000,40.0000,37.0000,31.0000,26.0000,21.0000,13.0000,11.0000,12.0000,23.0000,14.0000,7.0000,4.0000,4.0000,4.0000,8.0000,23.0000,19.0000,341.0000,92.0000,40.0000,37.0000,31.0000,26.0000,21.0000,13.0000,11.0000,12.0000,23.0000,14.0000,7.0000,4.0000,4.0000,4.0000,8.0000,23.0000,19.0000,860.0000,860.0000,113.0000,113.0000
