dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,156.0000,561375.0000,351.0000,187125.0000,1383.0000,561375.0000,3831.0000,187125.0000,Neutral,22,-100.6109,-0.2311,NA, NA,-0.0278,NA,NA,NA,NA,NA,NA,0.088488,0.0110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.0000,56.0000,27.0000,29.0000,16.0000,17.0000,19.0000,7.0000,9.0000,7.0000,8.0000,9.0000,15.0000,8.0000,3.0000,6.0000,6.0000,5.0000,2.0000,138.0929,60.2320,24.9742,27.1778,14.6907,15.4253,16.8943,5.8763,9.5490,5.8763,7.3454,8.0799,11.7526,8.0799,2.9381,4.4072,5.1418,4.4072,1.4691,86.0000,26.0000,7.0000,8.0000,4.0000,4.0000,4.0000,1.0000,4.0000,1.0000,2.0000,2.0000,1.0000,3.0000,1.0000,0.0000,1.0000,1.0000,0.0000,49.9071,21.7680,9.0258,9.8222,5.3093,5.5747,6.1057,2.1237,3.4510,2.1237,2.6546,2.9201,4.2474,2.9201,1.0619,1.5928,1.8582,1.5928,0.5309,3831.0000,3829.8732,1383.0000,1384.1268
all,156.0000,561375.0000,351.0000,187125.0000,1383.0000,561375.0000,3831.0000,187125.0000,GammaExpo,25,-80.0804,0.3535,0.0000,0.0000,0.0425,0.0000,0.0000,0.0019,0.0884,0.5562,0.3535,NA,NA,NA,NA,NA,179.816339,0.945330,2.684315,0.035493,0.100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000604,1.105836,0.743916,1.112699,0.760547,0.960173,1.221923,0.481579,0.869387,0.584703,0.787343,0.920497,1.403890,0.997131,0.367931,0.546410,0.606834,0.458317,0.108302,102.0000,56.0000,27.0000,29.0000,16.0000,17.0000,19.0000,7.0000,9.0000,7.0000,8.0000,9.0000,15.0000,8.0000,3.0000,6.0000,6.0000,5.0000,2.0000,102.2564,56.9047,25.7036,29.0653,16.0365,17.0436,18.8079,6.5731,10.7132,6.6047,8.2648,9.0980,13.2441,9.1180,3.3249,5.0148,5.9138,5.1770,1.8028,86.0000,26.0000,7.0000,8.0000,4.0000,4.0000,4.0000,1.0000,4.0000,1.0000,2.0000,2.0000,1.0000,3.0000,1.0000,0.0000,1.0000,1.0000,0.0000,85.7436,25.0953,8.2964,7.9347,3.9635,3.9564,4.1921,1.4269,2.2868,1.3953,1.7352,1.9020,2.7559,1.8820,0.6751,0.9852,1.0862,0.8230,0.1972,3831.0000,3832.4055,1383.0000,1381.5945
all,156.0000,561375.0000,351.0000,187125.0000,1383.0000,561375.0000,3831.0000,187125.0000,Saturated,40,-76.4572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.0000,56.0000,27.0000,29.0000,16.0000,17.0000,19.0000,7.0000,9.0000,7.0000,8.0000,9.0000,15.0000,8.0000,3.0000,6.0000,6.0000,5.0000,2.0000,102.0000,56.0000,27.0000,29.0000,16.0000,17.0000,19.0000,7.0000,9.0000,7.0000,8.0000,9.0000,15.0000,8.0000,3.0000,6.0000,6.0000,5.0000,2.0000,86.0000,26.0000,7.0000,8.0000,4.0000,4.0000,4.0000,1.0000,4.0000,1.0000,2.0000,2.0000,1.0000,3.0000,1.0000,0.0000,1.0000,1.0000,0.0000,86.0000,26.0000,7.0000,8.0000,4.0000,4.0000,4.0000,1.0000,4.0000,1.0000,2.0000,2.0000,1.0000,3.0000,1.0000,0.0000,1.0000,1.0000,0.0000,3831.0000,3831.0000,1383.0000,1383.0000
