dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,368.0000,561375.0000,984.0000,187125.0000,1744.0000,561375.0000,3610.0000,187125.0000,Neutral,22,-118.3793,0.2259,NA, NA,0.0364,NA,NA,NA,NA,NA,NA,0.108345,0.0070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.0000,144.0000,87.0000,50.0000,49.0000,44.0000,31.0000,32.0000,18.0000,23.0000,14.0000,11.0000,18.0000,17.0000,12.0000,12.0000,13.0000,10.0000,17.0000,371.9055,127.5683,81.6707,47.2475,42.5228,40.4979,27.6735,25.6487,16.1992,20.2489,16.8741,11.4744,15.5242,14.8492,10.1245,8.7745,8.7745,11.4744,13.4993,169.0000,45.0000,34.0000,20.0000,14.0000,16.0000,10.0000,6.0000,6.0000,7.0000,11.0000,6.0000,5.0000,5.0000,3.0000,1.0000,0.0000,7.0000,3.0000,179.0945,61.4317,39.3293,22.7525,20.4772,19.5021,13.3265,12.3513,7.8008,9.7511,8.1259,5.5256,7.4758,7.1508,4.8755,4.2255,4.2255,5.5256,6.5007,3610.0000,3613.7604,1744.0000,1740.2396
all,368.0000,561375.0000,984.0000,187125.0000,1744.0000,561375.0000,3610.0000,187125.0000,GammaExpo,25,-107.1251,0.1724,0.0000,0.0000,0.0278,0.0000,0.0000,0.0006,0.1299,0.6971,0.1724,NA,NA,NA,NA,NA,18961.132968,0.367142,1.855773,0.059490,0.100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002262,0.716491,0.695325,0.536554,0.600937,0.681537,0.537773,0.562398,0.393506,0.536633,0.481319,0.347842,0.493844,0.488881,0.339255,0.292463,0.280401,0.326737,0.277759,382.0000,144.0000,87.0000,50.0000,49.0000,44.0000,31.0000,32.0000,18.0000,23.0000,14.0000,11.0000,18.0000,17.0000,12.0000,12.0000,13.0000,10.0000,17.0000,383.1395,138.1447,90.0170,52.5142,47.4764,45.3280,31.0142,28.7616,18.1686,22.7122,18.9308,12.8817,17.4560,16.7500,11.4868,10.0572,10.2387,13.8287,17.3243,169.0000,45.0000,34.0000,20.0000,14.0000,16.0000,10.0000,6.0000,6.0000,7.0000,11.0000,6.0000,5.0000,5.0000,3.0000,1.0000,0.0000,7.0000,3.0000,167.8605,50.8553,30.9830,17.4858,15.5236,14.6720,9.9858,9.2384,5.8314,7.2878,6.0692,4.1183,5.5440,5.2500,3.5132,2.9428,2.7613,3.1713,2.6757,3610.0000,3609.4413,1744.0000,1744.5587
all,368.0000,561375.0000,984.0000,187125.0000,1744.0000,561375.0000,3610.0000,187125.0000,Saturated,40,-95.8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.0000,144.0000,87.0000,50.0000,49.0000,44.0000,31.0000,32.0000,18.0000,23.0000,14.0000,11.0000,18.0000,17.0000,12.0000,12.0000,13.0000,10.0000,17.0000,382.0000,144.0000,87.0000,50.0000,49.0000,44.0000,31.0000,32.0000,18.0000,23.0000,14.0000,11.0000,18.0000,17.0000,12.0000,12.0000,13.0000,10.0000,17.0000,169.0000,45.0000,34.0000,20.0000,14.0000,16.0000,10.0000,6.0000,6.0000,7.0000,11.0000,6.0000,5.0000,5.0000,3.0000,1.0000,0.0000,7.0000,3.0000,169.0000,45.0000,34.0000,20.0000,14.0000,16.0000,10.0000,6.0000,6.0000,7.0000,11.0000,6.0000,5.0000,5.0000,3.0000,1.0000,0.0000,7.0000,3.0000,3610.0000,3610.0000,1744.0000,1744.0000
