dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,183.0000,561375.0000,417.0000,187125.0000,680.0000,561375.0000,4115.0000,187125.0000,Neutral,22,-146.7875,-1.6557,NA, NA,-0.0912,NA,NA,NA,NA,NA,NA,0.047627,0.0260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.0000,72.0000,39.0000,32.0000,23.0000,10.0000,6.0000,9.0000,12.0000,12.0000,13.0000,9.0000,7.0000,9.0000,4.0000,8.0000,7.0000,6.0000,8.0000,189.4231,91.7116,46.2844,33.4276,26.5707,11.9997,6.8569,11.1425,14.5710,11.9997,14.5710,9.4283,6.8569,9.4283,4.2856,7.7141,5.9998,5.1427,6.8569,90.0000,35.0000,15.0000,7.0000,8.0000,4.0000,2.0000,4.0000,5.0000,2.0000,4.0000,2.0000,1.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,31.5769,15.2884,7.7156,5.5724,4.4293,2.0003,1.1431,1.8575,2.4290,2.0003,2.4290,1.5717,1.1431,1.5717,0.7144,1.2859,1.0002,0.8573,1.1431,4115.0000,4109.8805,680.0000,685.1195
all,183.0000,561375.0000,417.0000,187125.0000,680.0000,561375.0000,4115.0000,187125.0000,GammaExpo,25,-82.5195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.9714,0.0233,0.0000,NA,NA,NA,NA,NA,758.494427,0.417872,0.000284,0.002061,0.100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000763,1.121633,0.898171,0.889436,0.897453,0.490347,0.327927,0.608467,0.891077,0.808634,1.066739,0.739953,0.569200,0.815605,0.379348,0.681129,0.507065,0.383270,0.358419,131.0000,72.0000,39.0000,32.0000,23.0000,10.0000,6.0000,9.0000,12.0000,12.0000,13.0000,9.0000,7.0000,9.0000,4.0000,8.0000,7.0000,6.0000,8.0000,129.2192,72.9363,39.2162,29.3595,23.9128,10.9989,6.3784,10.4948,13.8757,11.5426,14.1502,9.2420,6.7856,9.4246,4.3319,7.8996,6.2445,5.4709,7.5396,90.0000,35.0000,15.0000,7.0000,8.0000,4.0000,2.0000,4.0000,5.0000,2.0000,4.0000,2.0000,1.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,91.7808,34.0637,14.7838,9.6405,7.0872,3.0011,1.6216,2.5052,3.1243,2.4574,2.8498,1.7580,1.2144,1.5754,0.6681,1.1004,0.7555,0.5291,0.4604,4115.0000,4113.3640,680.0000,681.6360
all,183.0000,561375.0000,417.0000,187125.0000,680.0000,561375.0000,4115.0000,187125.0000,Saturated,40,-78.1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.0000,72.0000,39.0000,32.0000,23.0000,10.0000,6.0000,9.0000,12.0000,12.0000,13.0000,9.0000,7.0000,9.0000,4.0000,8.0000,7.0000,6.0000,8.0000,131.0000,72.0000,39.0000,32.0000,23.0000,10.0000,6.0000,9.0000,12.0000,12.0000,13.0000,9.0000,7.0000,9.0000,4.0000,8.0000,7.0000,6.0000,8.0000,90.0000,35.0000,15.0000,7.0000,8.0000,4.0000,2.0000,4.0000,5.0000,2.0000,4.0000,2.0000,1.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,90.0000,35.0000,15.0000,7.0000,8.0000,4.0000,2.0000,4.0000,5.0000,2.0000,4.0000,2.0000,1.0000,2.0000,1.0000,1.0000,0.0000,0.0000,0.0000,4115.0000,4115.0000,680.0000,680.0000
