dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,403.0000,561375.0000,1649.0000,187125.0000,478.0000,561375.0000,3684.0000,187125.0000,Neutral,22,-184.4645,-0.8835,NA, NA,-0.0382,NA,NA,NA,NA,NA,NA,0.038970,0.0150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.0000,230.0000,147.0000,120.0000,102.0000,76.0000,45.0000,64.0000,55.0000,44.0000,35.0000,45.0000,47.0000,30.0000,30.0000,26.0000,24.0000,31.0000,32.0000,558.1122,258.7450,166.0207,128.0479,112.1523,77.7118,47.6868,60.9331,55.6346,46.8037,36.2066,49.4530,43.2714,30.9081,30.0250,24.7265,22.9603,32.6743,30.0250,166.0000,63.0000,41.0000,25.0000,25.0000,12.0000,9.0000,5.0000,8.0000,9.0000,6.0000,11.0000,2.0000,5.0000,4.0000,2.0000,2.0000,6.0000,2.0000,73.8878,34.2550,21.9793,16.9521,14.8477,10.2882,6.3132,8.0669,7.3654,6.1963,4.7934,6.5470,5.7286,4.0919,3.9750,3.2735,3.0397,4.3257,3.9750,3684.0000,3675.4159,478.0000,486.5841
all,403.0000,561375.0000,1649.0000,187125.0000,478.0000,561375.0000,3684.0000,187125.0000,GammaExpo,25,-111.8282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,0.7501,0.2465,0.0000,NA,NA,NA,NA,NA,6485.209784,0.366921,0.001522,0.010935,0.030907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002530,1.003454,0.995264,1.039630,1.148961,0.961016,0.690473,1.010148,1.037908,0.969043,0.822338,1.219670,1.148093,0.874097,0.895953,0.768640,0.729005,1.018010,0.807779,466.0000,230.0000,147.0000,120.0000,102.0000,76.0000,45.0000,64.0000,55.0000,44.0000,35.0000,45.0000,47.0000,30.0000,30.0000,26.0000,24.0000,31.0000,32.0000,459.4900,230.9677,153.0390,120.1754,106.5308,74.4771,46.0247,59.1534,54.2814,45.8696,35.6297,48.8543,42.9113,30.7717,30.0210,24.8482,23.2262,33.3901,31.3200,166.0000,63.0000,41.0000,25.0000,25.0000,12.0000,9.0000,5.0000,8.0000,9.0000,6.0000,11.0000,2.0000,5.0000,4.0000,2.0000,2.0000,6.0000,2.0000,172.5100,62.0323,34.9610,24.8246,20.4692,13.5229,7.9753,9.8466,8.7186,7.1304,5.3703,7.1457,6.0887,4.2283,3.9790,3.1518,2.7738,3.6099,2.6800,3684.0000,3680.4773,478.0000,481.5227
all,403.0000,561375.0000,1649.0000,187125.0000,478.0000,561375.0000,3684.0000,187125.0000,Saturated,40,-103.8573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.0000,230.0000,147.0000,120.0000,102.0000,76.0000,45.0000,64.0000,55.0000,44.0000,35.0000,45.0000,47.0000,30.0000,30.0000,26.0000,24.0000,31.0000,32.0000,466.0000,230.0000,147.0000,120.0000,102.0000,76.0000,45.0000,64.0000,55.0000,44.0000,35.0000,45.0000,47.0000,30.0000,30.0000,26.0000,24.0000,31.0000,32.0000,166.0000,63.0000,41.0000,25.0000,25.0000,12.0000,9.0000,5.0000,8.0000,9.0000,6.0000,11.0000,2.0000,5.0000,4.0000,2.0000,2.0000,6.0000,2.0000,166.0000,63.0000,41.0000,25.0000,25.0000,12.0000,9.0000,5.0000,8.0000,9.0000,6.0000,11.0000,2.0000,5.0000,4.0000,2.0000,2.0000,6.0000,2.0000,3684.0000,3684.0000,478.0000,478.0000
