dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,357.0000,561375.0000,1036.0000,187125.0000,2425.0000,561375.0000,3618.0000,187125.0000,Neutral,22,-164.9125,0.4859,NA, NA,0.1086,NA,NA,NA,NA,NA,NA,0.133184,0.0020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.0000,164.0000,78.0000,50.0000,36.0000,28.0000,25.0000,19.0000,24.0000,21.0000,20.0000,8.0000,11.0000,7.0000,11.0000,9.0000,18.0000,10.0000,17.0000,408.3043,127.8953,62.4465,39.6295,27.0201,20.4152,18.6139,13.2098,17.4130,15.6116,15.0112,5.4040,9.6072,5.4040,8.4063,7.2054,12.6094,9.0067,13.2098,200.0000,49.0000,26.0000,16.0000,9.0000,6.0000,6.0000,3.0000,5.0000,5.0000,5.0000,1.0000,5.0000,2.0000,3.0000,3.0000,3.0000,5.0000,5.0000,271.6957,85.1047,41.5535,26.3705,17.9799,13.5848,12.3861,8.7902,11.5870,10.3884,9.9888,3.5960,6.3928,3.5960,5.5937,4.7946,8.3906,5.9933,8.7902,3618.0000,3628.5040,2425.0000,2414.4960
all,357.0000,561375.0000,1036.0000,187125.0000,2425.0000,561375.0000,3618.0000,187125.0000,GammaExpo,25,-96.1615,0.7309,0.0000,0.0000,0.1634,0.0000,0.0000,0.0007,0.1519,0.1164,0.7309,NA,NA,NA,NA,NA,5871.598331,0.365345,8.382571,0.022053,0.025268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002618,0.675896,0.508718,0.435971,0.373896,0.339834,0.361409,0.292415,0.431710,0.427259,0.447942,0.173905,0.329981,0.196067,0.318541,0.281259,0.497209,0.346355,0.448567,480.0000,164.0000,78.0000,50.0000,36.0000,28.0000,25.0000,19.0000,24.0000,21.0000,20.0000,8.0000,11.0000,7.0000,11.0000,9.0000,18.0000,10.0000,17.0000,478.1535,161.8357,81.3418,52.3815,36.0158,27.3457,24.9975,17.7552,23.3905,20.9306,20.0609,7.1891,12.7040,7.0918,10.9289,9.2642,16.0173,11.3317,16.8258,200.0000,49.0000,26.0000,16.0000,9.0000,6.0000,6.0000,3.0000,5.0000,5.0000,5.0000,1.0000,5.0000,2.0000,3.0000,3.0000,3.0000,5.0000,5.0000,201.8465,51.1643,22.6582,13.6185,8.9842,6.6543,6.0025,4.2448,5.6095,5.0694,4.9391,1.8109,3.2960,1.9082,3.0711,2.7358,4.9827,3.6683,5.1742,3618.0000,3616.7624,2425.0000,2426.2376
all,357.0000,561375.0000,1036.0000,187125.0000,2425.0000,561375.0000,3618.0000,187125.0000,Saturated,40,-93.5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.0000,164.0000,78.0000,50.0000,36.0000,28.0000,25.0000,19.0000,24.0000,21.0000,20.0000,8.0000,11.0000,7.0000,11.0000,9.0000,18.0000,10.0000,17.0000,480.0000,164.0000,78.0000,50.0000,36.0000,28.0000,25.0000,19.0000,24.0000,21.0000,20.0000,8.0000,11.0000,7.0000,11.0000,9.0000,18.0000,10.0000,17.0000,200.0000,49.0000,26.0000,16.0000,9.0000,6.0000,6.0000,3.0000,5.0000,5.0000,5.0000,1.0000,5.0000,2.0000,3.0000,3.0000,3.0000,5.0000,5.0000,200.0000,49.0000,26.0000,16.0000,9.0000,6.0000,6.0000,3.0000,5.0000,5.0000,5.0000,1.0000,5.0000,2.0000,3.0000,3.0000,3.0000,5.0000,5.0000,3618.0000,3618.0000,2425.0000,2425.0000
