dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,590.0000,561375.0000,2827.0000,187125.0000,763.0000,561375.0000,3340.0000,187125.0000,Neutral,22,-140.4986,0.0864,NA, NA,0.0066,NA,NA,NA,NA,NA,NA,0.061801,0.0060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970.0000,481.0000,241.0000,196.0000,159.0000,118.0000,81.0000,100.0000,56.0000,63.0000,65.0000,45.0000,48.0000,44.0000,40.0000,27.0000,35.0000,33.0000,25.0000,1020.6898,470.8370,232.9747,184.9135,149.8858,113.2290,80.6451,89.6056,51.3196,59.4656,57.8364,42.3590,44.8028,39.9152,39.1006,26.8817,29.3255,28.5109,21.1795,283.0000,97.0000,45.0000,31.0000,25.0000,21.0000,18.0000,10.0000,7.0000,10.0000,6.0000,7.0000,7.0000,5.0000,8.0000,6.0000,1.0000,2.0000,1.0000,232.3102,107.1630,53.0253,42.0865,34.1142,25.7710,18.3549,20.3944,11.6804,13.5344,13.1636,9.6410,10.1972,9.0848,8.8994,6.1183,6.6745,6.4891,4.8205,3340.0000,3342.2907,763.0000,760.7093
all,590.0000,561375.0000,2827.0000,187125.0000,763.0000,561375.0000,3340.0000,187125.0000,GammaExpo,25,-115.0681,0.4651,0.0000,0.0000,0.0354,0.0000,0.0000,0.0014,0.2903,0.2432,0.4651,NA,NA,NA,NA,NA,15262.729377,0.377088,4.507844,0.011111,0.100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005725,0.977833,0.738532,0.785627,0.795545,0.718091,0.592373,0.744718,0.473679,0.600060,0.629196,0.490258,0.544245,0.501291,0.498344,0.338838,0.350717,0.298199,0.154486,970.0000,481.0000,241.0000,196.0000,159.0000,118.0000,81.0000,100.0000,56.0000,63.0000,65.0000,45.0000,48.0000,44.0000,40.0000,27.0000,35.0000,33.0000,25.0000,969.7928,477.2107,242.0069,194.6266,159.0873,120.8866,86.4729,96.4013,55.3575,64.2834,62.6387,45.9554,48.6935,43.4734,42.7094,29.4930,32.4148,31.9455,24.3892,283.0000,97.0000,45.0000,31.0000,25.0000,21.0000,18.0000,10.0000,7.0000,10.0000,6.0000,7.0000,7.0000,5.0000,8.0000,6.0000,1.0000,2.0000,1.0000,283.2072,100.7893,43.9931,32.3734,24.9127,18.1134,12.5271,13.5987,7.6425,8.7166,8.3613,6.0446,6.3065,5.5266,5.2906,3.5070,3.5852,3.0545,1.6108,3340.0000,3341.1349,763.0000,761.8651
all,590.0000,561375.0000,2827.0000,187125.0000,763.0000,561375.0000,3340.0000,187125.0000,Saturated,40,-108.8579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,970.0000,481.0000,241.0000,196.0000,159.0000,118.0000,81.0000,100.0000,56.0000,63.0000,65.0000,45.0000,48.0000,44.0000,40.0000,27.0000,35.0000,33.0000,25.0000,970.0000,481.0000,241.0000,196.0000,159.0000,118.0000,81.0000,100.0000,56.0000,63.0000,65.0000,45.0000,48.0000,44.0000,40.0000,27.0000,35.0000,33.0000,25.0000,283.0000,97.0000,45.0000,31.0000,25.0000,21.0000,18.0000,10.0000,7.0000,10.0000,6.0000,7.0000,7.0000,5.0000,8.0000,6.0000,1.0000,2.0000,1.0000,283.0000,97.0000,45.0000,31.0000,25.0000,21.0000,18.0000,10.0000,7.0000,10.0000,6.0000,7.0000,7.0000,5.0000,8.0000,6.0000,1.0000,2.0000,1.0000,3340.0000,3340.0000,763.0000,763.0000
