dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,692.0000,561375.0000,3362.0000,187125.0000,1.0000,561375.0000,1.0000,187125.0000,Neutral,22,-148.0460,0.7942,NA, NA,0.2647,NA,NA,NA,NA,NA,NA,0.057918,0.0050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008.0000,443.0000,337.0000,207.0000,187.0000,159.0000,145.0000,126.0000,120.0000,73.0000,94.0000,75.0000,57.0000,81.0000,63.0000,45.0000,56.0000,37.0000,49.0000,1092.2977,441.2155,327.1935,206.5616,175.9905,152.0293,133.0257,119.8057,112.3695,66.9260,85.9296,73.5359,54.5323,73.5359,58.6635,42.1386,50.4010,35.5286,47.9223,314.0000,91.0000,59.0000,43.0000,26.0000,25.0000,16.0000,19.0000,16.0000,8.0000,10.0000,14.0000,9.0000,8.0000,8.0000,6.0000,5.0000,6.0000,9.0000,229.7023,92.7845,68.8065,43.4384,37.0095,31.9707,27.9743,25.1943,23.6305,14.0740,18.0704,15.4641,11.4677,15.4641,12.3365,8.8614,10.5990,7.4714,10.0777,1.0000,1.6525,1.0000,0.3475
all,692.0000,561375.0000,3362.0000,187125.0000,1.0000,561375.0000,1.0000,187125.0000,GammaExpo,25,-112.8129,-4.1966,0.0000,0.0000,-1.4148,0.0000,0.0000,0.0249,5.1597,0.0120,-4.1966,NA,NA,NA,NA,NA,11545.016774,0.346081,256.256529,0.001628,0.000264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005402,0.867022,0.991855,0.847932,0.912265,0.952585,0.977795,1.010741,1.070104,0.710027,1.004813,0.939369,0.755231,1.096750,0.936463,0.715638,0.904469,0.667072,0.920532,1008.0000,443.0000,337.0000,207.0000,187.0000,159.0000,145.0000,126.0000,120.0000,73.0000,94.0000,75.0000,57.0000,81.0000,63.0000,45.0000,56.0000,37.0000,49.0000,1010.6256,438.1239,334.1424,214.2466,184.4054,160.4671,141.1873,127.7058,120.1881,71.7751,92.3457,79.1427,58.7399,79.2193,63.1433,45.2497,53.8491,37.5418,49.2088,314.0000,91.0000,59.0000,43.0000,26.0000,25.0000,16.0000,19.0000,16.0000,8.0000,10.0000,14.0000,9.0000,8.0000,8.0000,6.0000,5.0000,6.0000,9.0000,311.3744,95.8761,61.8576,35.7534,28.5946,23.5329,19.8127,17.2942,15.8119,9.2249,11.6543,9.8573,7.2601,9.7807,7.8567,5.7503,7.1509,5.4582,8.7912,1.0000,0.9886,1.0000,1.0114
all,692.0000,561375.0000,3362.0000,187125.0000,1.0000,561375.0000,1.0000,187125.0000,Saturated,40,-109.0531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008.0000,443.0000,337.0000,207.0000,187.0000,159.0000,145.0000,126.0000,120.0000,73.0000,94.0000,75.0000,57.0000,81.0000,63.0000,45.0000,56.0000,37.0000,49.0000,1008.0000,443.0000,337.0000,207.0000,187.0000,159.0000,145.0000,126.0000,120.0000,73.0000,94.0000,75.0000,57.0000,81.0000,63.0000,45.0000,56.0000,37.0000,49.0000,314.0000,91.0000,59.0000,43.0000,26.0000,25.0000,16.0000,19.0000,16.0000,8.0000,10.0000,14.0000,9.0000,8.0000,8.0000,6.0000,5.0000,6.0000,9.0000,314.0000,91.0000,59.0000,43.0000,26.0000,25.0000,16.0000,19.0000,16.0000,8.0000,10.0000,14.0000,9.0000,8.0000,8.0000,6.0000,5.0000,6.0000,9.0000,1.0000,1.0000,1.0000,1.0000
