dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,168.0000,561375.0000,408.0000,187125.0000,634.0000,561375.0000,3942.0000,187125.0000,Neutral,22,-141.3040,-1.5602,NA, NA,-0.0836,NA,NA,NA,NA,NA,NA,0.046519,0.0040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.0000,59.0000,37.0000,20.0000,31.0000,19.0000,21.0000,14.0000,9.0000,16.0000,10.0000,12.0000,8.0000,2.0000,7.0000,4.0000,5.0000,9.0000,5.0000,167.7864,68.8355,45.6035,22.3715,33.5573,18.9298,20.6506,15.4880,11.1858,17.2089,10.3253,13.7671,9.4649,5.1627,7.7440,6.8835,6.0231,8.6044,6.0231,75.0000,21.0000,16.0000,6.0000,8.0000,3.0000,3.0000,4.0000,4.0000,4.0000,2.0000,4.0000,3.0000,4.0000,2.0000,4.0000,2.0000,1.0000,2.0000,27.2136,11.1645,7.3965,3.6285,5.4427,3.0702,3.3494,2.5120,1.8142,2.7911,1.6747,2.2329,1.5351,0.8373,1.2560,1.1165,0.9769,1.3956,0.9769,3942.0000,3937.3887,634.0000,638.6113
all,168.0000,561375.0000,408.0000,187125.0000,634.0000,561375.0000,3942.0000,187125.0000,GammaExpo,25,-94.0332,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0052,0.9141,0.0807,-0.0000,NA,NA,NA,NA,NA,739.423725,0.431565,0.000406,0.005603,0.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000637,0.946401,0.995823,0.672183,1.286655,0.884097,1.138259,0.984730,0.806258,1.387224,0.920735,1.345877,1.006800,0.593736,0.957617,0.910909,0.849382,1.288308,0.954339,120.0000,59.0000,37.0000,20.0000,31.0000,19.0000,21.0000,14.0000,9.0000,16.0000,10.0000,12.0000,8.0000,2.0000,7.0000,4.0000,5.0000,9.0000,5.0000,119.2272,56.4184,39.5764,20.0356,30.6808,17.5681,19.3873,14.6758,10.6809,16.5395,9.9797,13.3721,9.2337,5.0564,7.6116,6.7878,5.9570,8.5334,5.9886,75.0000,21.0000,16.0000,6.0000,8.0000,3.0000,3.0000,4.0000,4.0000,4.0000,2.0000,4.0000,3.0000,4.0000,2.0000,4.0000,2.0000,1.0000,2.0000,75.7728,23.5816,13.4236,5.9644,8.3192,4.4319,4.6127,3.3242,2.3191,3.4605,2.0203,2.6279,1.7663,0.9436,1.3884,1.2122,1.0430,1.4666,1.0114,3942.0000,3931.9666,634.0000,644.0334
all,168.0000,561375.0000,408.0000,187125.0000,634.0000,561375.0000,3942.0000,187125.0000,Saturated,40,-83.3964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.0000,59.0000,37.0000,20.0000,31.0000,19.0000,21.0000,14.0000,9.0000,16.0000,10.0000,12.0000,8.0000,2.0000,7.0000,4.0000,5.0000,9.0000,5.0000,120.0000,59.0000,37.0000,20.0000,31.0000,19.0000,21.0000,14.0000,9.0000,16.0000,10.0000,12.0000,8.0000,2.0000,7.0000,4.0000,5.0000,9.0000,5.0000,75.0000,21.0000,16.0000,6.0000,8.0000,3.0000,3.0000,4.0000,4.0000,4.0000,2.0000,4.0000,3.0000,4.0000,2.0000,4.0000,2.0000,1.0000,2.0000,75.0000,21.0000,16.0000,6.0000,8.0000,3.0000,3.0000,4.0000,4.0000,4.0000,2.0000,4.0000,3.0000,4.0000,2.0000,4.0000,2.0000,1.0000,2.0000,3942.0000,3942.0000,634.0000,634.0000
