dataset,pn,Lpn,ps,Lps,dn,Ldn,ds,Lds,model,#param,lnL,alpha,alpha_down,alpha_up,omegaA,omegaA_down,omegaA_up,prop_subst_sdel,prop_subst_wdel,prop_subst_wadv,prop_subst_sadv,Neutral:f0,Neutral:syno_orientation_error,GammaZero:negGmean,GammaZero:negGshape,GammaZero:syno_orientation_error,GammaExpo:negGmean,GammaExpo:negGshape,GammaExpo:posGmean,GammaExpo:pos_prop,GammaExpo:syno_orientation_error,GammaGamma:negGmean,GammaGamma:negGshape,GammaGamma:posGmean,GammaGamma:posGshape,GammaGamma:pos_prop,GammaGamma:syno_orientation_error,DisplGamma:negGmean,DisplGamma:negGshape,DisplGamma:s0,DisplGamma:syno_orientation_error,ScaledBeta:Ba,ScaledBeta:Bb,ScaledBeta:med_prop,ScaledBeta:syno_orientation_error,FGMBesselK:BKm,FGMBesselK:BKnsz2,FGMBesselK:BKsigma,FGMBesselK:BKscale,FGMBesselK:syno_orientation_error,theta,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,obs_specS1,obs_specS2,obs_specS3,obs_specS4,obs_specS5,obs_specS6,obs_specS7,obs_specS8,obs_specS9,obs_specS10,obs_specS11,obs_specS12,obs_specS13,obs_specS14,obs_specS15,obs_specS16,obs_specS17,obs_specS18,obs_specS19,exp_specS1,exp_specS2,exp_specS3,exp_specS4,exp_specS5,exp_specS6,exp_specS7,exp_specS8,exp_specS9,exp_specS10,exp_specS11,exp_specS12,exp_specS13,exp_specS14,exp_specS15,exp_specS16,exp_specS17,exp_specS18,exp_specS19,obs_specN1,obs_specN2,obs_specN3,obs_specN4,obs_specN5,obs_specN6,obs_specN7,obs_specN8,obs_specN9,obs_specN10,obs_specN11,obs_specN12,obs_specN13,obs_specN14,obs_specN15,obs_specN16,obs_specN17,obs_specN18,obs_specN19,exp_specN1,exp_specN2,exp_specN3,exp_specN4,exp_specN5,exp_specN6,exp_specN7,exp_specN8,exp_specN9,exp_specN10,exp_specN11,exp_specN12,exp_specN13,exp_specN14,exp_specN15,exp_specN16,exp_specN17,exp_specN18,exp_specN19,obs_dS,exp_dS,obs_dN,exp_dN
all,523.0000,561375.0000,2086.0000,187125.0000,856.0000,561375.0000,3285.0000,187125.0000,Neutral,22,-129.5956,0.0378,NA, NA,0.0033,NA,NA,NA,NA,NA,NA,0.068838,0.0040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834.0000,321.0000,209.0000,125.0000,88.0000,71.0000,52.0000,63.0000,49.0000,35.0000,41.0000,37.0000,22.0000,26.0000,25.0000,22.0000,10.0000,25.0000,31.0000,877.5970,322.9494,192.8174,122.1971,88.8706,64.2725,49.9897,56.3376,44.4353,31.7395,34.1200,32.5330,19.8372,26.1851,23.8046,19.0437,11.9023,24.5981,26.9786,272.0000,86.0000,34.0000,29.0000,24.0000,10.0000,11.0000,8.0000,7.0000,5.0000,2.0000,4.0000,3.0000,7.0000,5.0000,2.0000,5.0000,6.0000,3.0000,228.4030,84.0506,50.1826,31.8029,23.1294,16.7275,13.0103,14.6624,11.5647,8.2605,8.8800,8.4670,5.1628,6.8149,6.1954,4.9563,3.0977,6.4019,7.0214,3285.0000,3285.8311,856.0000,855.1689
all,523.0000,561375.0000,2086.0000,187125.0000,856.0000,561375.0000,3285.0000,187125.0000,GammaExpo,25,-113.8074,0.2248,0.0000,0.0000,0.0195,0.0000,0.0000,0.0012,0.1741,0.5999,0.2248,NA,NA,NA,NA,NA,3808.781958,0.495989,2.161867,0.027166,0.036048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004588,0.792474,0.726230,0.619357,0.565052,0.490559,0.444317,0.570202,0.503296,0.396674,0.464941,0.478281,0.311548,0.434996,0.413732,0.341506,0.215584,0.431226,0.400538,834.0000,321.0000,209.0000,125.0000,88.0000,71.0000,52.0000,63.0000,49.0000,35.0000,41.0000,37.0000,22.0000,26.0000,25.0000,22.0000,10.0000,25.0000,31.0000,829.2278,329.2877,201.6646,129.3428,94.6931,68.7488,53.5887,60.4580,47.6969,34.0564,36.5793,34.8357,21.2110,27.9582,25.3879,20.3066,12.7191,26.4997,29.8427,272.0000,86.0000,34.0000,29.0000,24.0000,10.0000,11.0000,8.0000,7.0000,5.0000,2.0000,4.0000,3.0000,7.0000,5.0000,2.0000,5.0000,6.0000,3.0000,276.7722,77.7123,41.3354,24.6572,17.3069,12.2512,9.4113,10.5420,8.3031,5.9436,6.4207,6.1643,3.7890,5.0418,4.6121,3.6934,2.2809,4.5003,4.1573,3285.0000,3284.8113,856.0000,856.1887
all,523.0000,561375.0000,2086.0000,187125.0000,856.0000,561375.0000,3285.0000,187125.0000,Saturated,40,-103.6497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834.0000,321.0000,209.0000,125.0000,88.0000,71.0000,52.0000,63.0000,49.0000,35.0000,41.0000,37.0000,22.0000,26.0000,25.0000,22.0000,10.0000,25.0000,31.0000,834.0000,321.0000,209.0000,125.0000,88.0000,71.0000,52.0000,63.0000,49.0000,35.0000,41.0000,37.0000,22.0000,26.0000,25.0000,22.0000,10.0000,25.0000,31.0000,272.0000,86.0000,34.0000,29.0000,24.0000,10.0000,11.0000,8.0000,7.0000,5.0000,2.0000,4.0000,3.0000,7.0000,5.0000,2.0000,5.0000,6.0000,3.0000,272.0000,86.0000,34.0000,29.0000,24.0000,10.0000,11.0000,8.0000,7.0000,5.0000,2.0000,4.0000,3.0000,7.0000,5.0000,2.0000,5.0000,6.0000,3.0000,3285.0000,3285.0000,856.0000,856.0000
